-131:  R.. 0x1ffff
-123:  R.. 0x1ffff
-115:  R.. 0x1ffff
-107:  R.. 0x1ffff
 285:  R.R 0x0d6ff  R.R 0x0deff  R.R 0x0e6ff  R.R 0x0eeff  R.R 0x0f6ff  R.R 0x0feff
 413:  R.R 0x1d7ff  R.R 0x1dfff  R.R 0x1e7ff  R.R 0x1efff  R.R 0x1f7ff  R.R 0x1ffff
 541:  R.R 0x0d8ff  R.R 0x0e0ff  R.R 0x0e8ff  R.R 0x0f0ff  R.R 0x0f8ff  R.R 0x0003f
 669:  R.R 0x1d9ff  R.R 0x1e1ff  R.R 0x1e9ff  R.R 0x1f1ff  R.R 0x1f9ff  R.R 0x1013f
 797:  R.R 0x0daff  R.R 0x0e2ff  R.R 0x0eaff  R.R 0x0f2ff  R.R 0x0faff  R.R 0x0023f
 925:  R.R 0x1dbff  R.R 0x1e3ff  R.R 0x1ebff  R.R 0x1f3ff  R.R 0x1fbff  R.R 0x1033f
1053:  R.R 0x0dcff  R.R 0x0e4ff  R.R 0x0ecff  R.R 0x0f4ff  R.R 0x0fcff  R.R 0x0043f
1181:  R.R 0x1ddff  R.R 0x1e5ff  R.R 0x1edff  R.R 0x1f5ff  R.R 0x1fdff  R.R 0x1053f
1237:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1245:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1253:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1261:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
