3135000:  R.. 0x0143f
3150000:  R.. 0x1b402
3161250:  R.. 0x1ffff
3165000:  R.. 0x1ffff
3168750:  R.. 0x1ffff
3172500:  R.. 0x1ffff
3176250:  R.. 0x1f402
3187500:  W.. 0x1f402
3219250:  R.. 0x1b402
3234250:  R.. 0x1f402
3245500:  W.. 0x1f402
3275500:  R.. 0x1b403
3299875:  R.. 0x1f403
3311125:  W.. 0x1f403
3341125:  R.. 0x1b403
3356125:  R.. 0x1153f
3359875:  R.. 0x1f403
3371125:  W.. 0x1f403
3401125:  R.. 0x1b404
3416125:  R.. 0x0163f
3419875:  R.. 0x1f404
3431125:  W.. 0x1f404
3461125:  R.. 0x1b404
3476125:  R.. 0x1173f
3480000:  R.. 0x1f404
3491250:  W.. 0x1f404
3521250:  R.. 0x1b405
3536250:  R.. 0x0183f
3540000:  R.. 0x1f405
3551250:  W.. 0x1f405
3581250:  R.. 0x1b405
3596375:  R.. 0x1193f
3600000:  R.. 0x1f405
3611250:  W.. 0x1f405
3641250:  R.. 0x1b406
3656250:  R.. 0x01a3f
3660000:  R.. 0x1f406
3671250:  W.. 0x1f406
3701250:  R.. 0x1b406
3716250:  R.. 0x11b3f
3720000:  R.. 0x1f406
3731250:  W.. 0x1f406
3761125:  R.. 0x1b407
3776125:  R.. 0x01c3f
3779875:  R.. 0x1f407
3791125:  W.. 0x1f407
3802375:  R.. 0x1ffff
3806125:  R.. 0x1ffff
3809875:  R.. 0x1ffff
3813625:  R.. 0x1ffff
3821125:  R.. 0x1b407
3836250:  R.. 0x1f407
3848875:  W.. 0x1f407
3879375:  R.. 0x1b408
3894375:  R.. 0x1f408
3905625:  W.. 0x1f408
3941375:  R.. 0x1b408
3956375:  R.. 0x1f408
3967625:  W.. 0x1f408
3997625:  R.. 0x11d3f
4001375:  R.. 0x1b409
4016375:  R.. 0x1f409
4027625:  W.. 0x1f409
4057625:  R.. 0x01e3f
4061375:  R.. 0x1b409
4076375:  R.. 0x1f409
4087625:  W.. 0x1f409
