29875:  R.. 0x14373
41125:  R.. 0x06e7f
63625:  R.. 0x14374
97375:  R.. 0x14375
101125:  R.. 0x16f7f
131250:  R.. 0x14376
161250:  R.. 0x0707f
165000:  R.. 0x14377
198750:  R.. 0x14378
221375:  R.. 0x1717f
232625:  R.. 0x14379
266375:  R.. 0x1437a
281375:  R.. 0x0727f
300125:  R.. 0x1437b
333750:  R.. 0x1437c
341250:  R.. 0x1737f
367500:  R.. 0x1ffff
371250:  R.. 0x1ffff
375000:  R.. 0x1ffff
378750:  R.. 0x1ffff
382500:  R.. 0x1437d
397500:  R.. 0x1437e
433125:  R.. 0x1437f
466875:  R.. 0x14380
506250:  R.. 0x14381
532500:  R.. 0x14382
562500:  R.. 0x0747f
566375:  R.. 0x14383
600125:  R.. 0x14384
622625:  R.. 0x1757f
633875:  R.. 0x14385
667625:  R.. 0x14386
682625:  R.. 0x0767f
701375:  R.. 0x14387
735125:  R.. 0x14388
742625:  R.. 0x1777f
768875:  R.. 0x14389
802625:  R.. 0x0787f
806375:  R.. 0x1438a
836375:  R.. 0x1438b
862500:  R.. 0x1797f
870000:  R.. 0x1438c
903750:  R.. 0x1438d
922625:  R.. 0x07a7f
937625:  R.. 0x1438e
967625:  R.. 0x1438f
982625:  R.. 0x17b7f
1001375:  R.. 0x14390
1008875:  R.. 0x1ffff
1012750:  R.. 0x1ffff
1016500:  R.. 0x1ffff
1020250:  R.. 0x1ffff
1035250:  R.. 0x14391
1070875:  R.. 0x14392
1104625:  R.. 0x14393
1147750:  R.. 0x14394
1170250:  R.. 0x14395
1204000:  R.. 0x07c7f
1207750:  R.. 0x14396
1237750:  R.. 0x14397
1263875:  R.. 0x17d7f
1271375:  R.. 0x14398
1323875:  R.. 0x07e7f
1384000:  R.. 0x17f7f
1387750:  R.. 0x14399
1421500:  R.. 0x1439a
1444000:  R.. 0x080bf
1455250:  R.. 0x1439b
1489125:  R.. 0x1439c
1504125:  R.. 0x181bf
1522875:  R.. 0x1439d
1556625:  R.. 0x1439e
1564125:  R.. 0x082bf
1590375:  R.. 0x1439f
1624125:  R.. 0x183bf
1627875:  R.. 0x143a0
1650250:  R.. 0x1ffff
1654000:  R.. 0x1ffff
1657750:  R.. 0x1ffff
1661500:  R.. 0x1ffff
1665250:  R.. 0x143a1
1692000:  R.. 0x143a2
1723375:  R.. 0x143a3
1757125:  R.. 0x143a4
1792750:  R.. 0x143a5
1826625:  R.. 0x143a6
