 2750:  R.. 0x0bebf
2283375:  R.. 0x183b9
2295125:  W.. 0x1c3b9
2311500:  R.. 0x1448c
2326500:  R.. 0x183ba
2337750:  W.. 0x1c3ba
2345375:  R.. 0x1448d
2367875:  R.. 0x183bb
2392250:  R.. 0x1448e
2396000:  W.. 0x1c3bb
2411000:  R.. 0x1448f
2426000:  R.. 0x183bc
2437250:  W.. 0x1c3bc
2444750:  R.. 0x14490
2448500:  R.. 0x0dcff
2467250:  R.. 0x183bd
2478500:  R.. 0x14491
2482250:  W.. 0x1c3bd
2508500:  R.. 0x1ddff
2512250:  R.. 0x14492
2516000:  R.. 0x183be
2527250:  W.. 0x1c3be
2545875:  R.. 0x14493
2557125:  R.. 0x183bf
2568375:  R.. 0x0deff
2572125:  W.. 0x1c3bf
2579625:  R.. 0x14494
2602125:  R.. 0x183c0
2613375:  R.. 0x14495
2617125:  W.. 0x1c3c0
2628375:  R.. 0x1dfff
2647125:  R.. 0x14496
2650875:  R.. 0x183c1
2662125:  W.. 0x1c3c1
2680875:  R.. 0x14497
2688375:  R.. 0x0e0ff
2692125:  R.. 0x183c2
2703500:  W.. 0x1c3c2
2714750:  R.. 0x14498
2733500:  R.. 0x183c3
2744750:  W.. 0x1c3c3
2748500:  R.. 0x1e1ff
2752250:  R.. 0x14499
2774750:  R.. 0x183c4
2782250:  R.. 0x1449a
2786000:  W.. 0x1c3c4
2808625:  R.. 0x0e2ff
2816125:  R.. 0x1449b
2819875:  R.. 0x183c5
2831125:  W.. 0x1c3c5
2849875:  R.. 0x1449c
2861125:  R.. 0x183c6
2868625:  R.. 0x1e3ff
2872375:  W.. 0x1c3c6
2883625:  R.. 0x1449d
2894875:  R.. 0x1ffff
2898625:  R.. 0x1ffff
2902375:  R.. 0x1ffff
2906125:  R.. 0x1ffff
2909875:  R.. 0x183c7
2917375:  R.. 0x1449e
2921125:  W.. 0x1c3c7
2949250:  R.. 0x1449f
2952875:  R.. 0x183c8
2964125:  W.. 0x1c3c8
2982875:  R.. 0x144a0
2994125:  R.. 0x183c9
3005375:  W.. 0x1c3c9
3033500:  R.. 0x144a1
3037250:  R.. 0x183ca
3048500:  R.. 0x144a2
3052250:  W.. 0x1c3ca
3082250:  R.. 0x144a3
3086000:  R.. 0x183cb
3089750:  R.. 0x0e4ff
3097250:  W.. 0x1c3cb
3116000:  R.. 0x144a4
3127250:  R.. 0x183cc
3138500:  W.. 0x1c3cc
3149750:  R.. 0x1e5ff
3153500:  R.. 0x144a5
3168625:  R.. 0x183cd
3179875:  W.. 0x1c3cd
3183625:  R.. 0x144a6
3209875:  R.. 0x0e6ff
3213625:  R.. 0x183ce
3217375:  R.. 0x144a7
3224875:  W.. 0x1c3ce
3251125:  R.. 0x144a8
3254875:  R.. 0x183cf
3266250:  W.. 0x1c3cf
3270000:  R.. 0x1e7ff
3285000:  R.. 0x144a9
3296250:  R.. 0x183d0
3307500:  W.. 0x1c3d0
3318750:  R.. 0x144aa
3330000:  R.. 0x0e8ff
3337500:  R.. 0x183d1
3348750:  W.. 0x1c3d1
3352500:  R.. 0x144ab
3378625:  R.. 0x183d2
3386125:  R.. 0x144ac
3389875:  R.. 0x1e9ff
3393625:  W.. 0x1c3d2
3419875:  R.. 0x144ad
3423625:  R.. 0x183d3
3434875:  W.. 0x1c3d3
3449875:  R.. 0x0eaff
3453625:  R.. 0x144ae
3464875:  R.. 0x183d4
3476125:  W.. 0x1c3d4
3487375:  R.. 0x144af
3506125:  R.. 0x183d5
3509875:  R.. 0x1ebff
3517375:  W.. 0x1c3d5
3521125:  R.. 0x144b0
3536125:  R.. 0x1ffff
3539875:  R.. 0x1ffff
3543625:  R.. 0x1ffff
3547375:  R.. 0x1ffff
3551125:  R.. 0x183d6
3562375:  W.. 0x1c3d6
3594250:  R.. 0x183d7
3605500:  W.. 0x1c3d7
3635625:  R.. 0x144b1
3639375:  R.. 0x183d8
3650625:  W.. 0x1c3d8
3675000:  R.. 0x144b2
