   1:               R.@ 0x0d7f9  R.@ 0x0d7f9  R.@ 0x0d7fa   dummy (was col3)
   7:               R.A 0x0d7fc  R.A 0x0d7fc  R.A 0x0d7fc   y2
  11:               RbA 0x0d7fd  RbA 0x0d7fd  RbA 0x0d7fd   x2
  15:               RbA 0x0d7fe  RbA 0x0d7fe  RbA 0x0d7fe   n2
  19:               RbA 0x0d7ff  RbA 0x0d7ff  RbA 0x0d7ff   c2
  23:               Rb@ 0x0d7fc  Rb@ 0x0d7fc  Rb@ 0x0d7fc   dummy
  27:               Rb@ 0x0d7fd  Rb@ 0x0d7fd  Rb@ 0x0d7fd   dummy
  39:               R.s 0x0dbe0  R.s 0x0dbe1  R.s 0x0dbe1   pat2a
  43:               Rbs 0x0dbe0  Rbs 0x0dbe1  Rbs 0x0dbe1   pat2b
  49:               R.@ 0x0d7f8  R.@ 0x0d7f9  R.@ 0x0d7f9   dummy (was col4)
  55:               R.s 0x0d881  R.s 0x0d881  R.s 0x0d882   dummy (was pat5a)
  59:               Rbs 0x0d881  Rbs 0x0d881  Rbs 0x0d882   dummy (was pat5b)
  65:               R.@ 0x0d7f9  R.@ 0x0d7f9  R.@ 0x0d7fa   dummy (was col5)
  71:               R.A 0x0d7fc  R.A 0x0d7fc  R.A 0x0d7fc   y3
  75:               RbA 0x0d7fd  RbA 0x0d7fd  RbA 0x0d7fd   x3
  79:               RbA 0x0d7fe  RbA 0x0d7fe  RbA 0x0d7fe   n3
  83:               RbA 0x0d7ff  RbA 0x0d7ff  RbA 0x0d7ff   c3
  87:               Rb@ 0x0d7fc  Rb@ 0x0d7fc  Rb@ 0x0d7fc   dummy
  91:               Rb@ 0x0d7fd  Rb@ 0x0d7fd  Rb@ 0x0d7fd   dummy
 103:  R.s 0x0dbe0  R.s 0x0dbe0  R.s 0x0dbe1  R.s 0x0dbe1   pat3a
 107:  Rbs 0x0dbe0  Rbs 0x0dbe0  Rbs 0x0dbe1  Rbs 0x0dbe1   pat3b
 113:  R.@ 0x0d7f8  R.@ 0x0d7f8  R.@ 0x0d7f9  R.@ 0x0d7f9   dummy (was col6)
 119:  R.s 0x0d880  R.s 0x0d881  R.s 0x0d881  R.s 0x0d882   dummy (was pat7a)
 123:  Rbs 0x0d880  Rbs 0x0d881  Rbs 0x0d881  Rbs 0x0d882   dummy (was pat7b)
 129:  R.@ 0x0d7f8  R.@ 0x0d7f9  R.@ 0x0d7f9  R.@ 0x0d7fa   dummy (was col7)
 183:  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff   dummy
 195:  R.a 0x0d780  R.a 0x0d780  R.a 0x0d780  R.a 0x0d780   sprite y 0
 201:  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff   dummy
 207:  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff   dummy
 215:  R.n 0x07e40  R.n 0x07e40  R.n 0x07e40  R.n 0x07e40   name 0
 227:  R.a 0x0d784  R.a 0x0d784  R.a 0x0d784  R.a 0x0d784   sprite y 1
 233:  R.p 0x0f7e1  R.p 0x0f7e2  R.p 0x0f7e3  R.p 0x0f7e4   pattern 0
 239:  R.c 0x117e1  R.c 0x117e2  R.c 0x117e3  R.c 0x117e4   color 0
 247:  R.n 0x07e41  R.n 0x07e41  R.n 0x07e41  R.n 0x07e41   name 1
 259:  R.a 0x0d788  R.a 0x0d788  R.a 0x0d788  R.a 0x0d788   sprite y 2
 265:  R.p 0x0f7f1  R.p 0x0f7f2  R.p 0x0f7f3  R.p 0x0f7f4   pattern 1
 271:  R.c 0x117f1  R.c 0x117f2  R.c 0x117f3  R.c 0x117f4   color 1
 279:  R.n 0x07e42  R.n 0x07e42  R.n 0x07e42  R.n 0x07e42   name 2
 285:  R.r 0x080bf  R.r 0x088bf  R.r 0x090bf  R.r 0x098bf   refresh
 291:  R.a 0x0d78c  R.a 0x0d78c  R.a 0x0d78c  R.a 0x0d78c   sprite y 3
 297:  R.p 0x0f7e1  R.p 0x0f7e2  R.p 0x0f7e3  R.p 0x0f7e4   pattern 2
