3920250:  W.. 0x1dc00
3931500:  R.. 0x1abbf
3954000:  R.. 0x1dc00
3957750:  R.. 0x1ffff
3961500:  R.. 0x1ffff
3965250:  R.. 0x1ffff
3969000:  R.. 0x1ffff
3972750:  W.. 0x1dc00
4008500:  R.. 0x1dc01
4019750:  W.. 0x1dc01
