24625:  R.. 0x03587
36375:  W.. 0x07587
66375:  R.. 0x03588
77625:  W.. 0x07588
117000:  R.. 0x03589
128250:  W.. 0x07589
158125:  R.. 0x0358a
169375:  W.. 0x0758a
173250:  R.. 0x15d7f
199375:  R.. 0x0358b
210625:  W.. 0x0758b
233125:  R.. 0x05e7f
240625:  R.. 0x0358c
251875:  W.. 0x0758c
281875:  R.. 0x0358d
293125:  R.. 0x15f7f
296875:  W.. 0x0758d
326875:  R.. 0x0358e
338125:  W.. 0x0758e
353125:  R.. 0x0607f
398250:  R.. 0x03600
409500:  W.. 0x07600
413250:  R.. 0x1617f
439500:  R.. 0x03601
450750:  W.. 0x07601
473375:  R.. 0x0627f
480875:  R.. 0x03602
492125:  W.. 0x07602
522125:  R.. 0x03603
533375:  R.. 0x1637f
537125:  W.. 0x07603
567000:  R.. 0x03604
578250:  W.. 0x07604
593250:  R.. 0x0647f
608250:  R.. 0x03605
619500:  R.. 0x1ffff
623250:  R.. 0x1ffff
627000:  R.. 0x1ffff
630750:  R.. 0x1ffff
634500:  W.. 0x07605
665875:  R.. 0x03606
677625:  W.. 0x07606
707625:  R.. 0x03607
718875:  W.. 0x07607
758250:  R.. 0x03608
769500:  W.. 0x07608
799500:  R.. 0x03609
810750:  W.. 0x07609
814625:  R.. 0x1657f
840875:  R.. 0x0360a
852125:  W.. 0x0760a
874625:  R.. 0x0667f
882125:  R.. 0x0360b
893375:  W.. 0x0760b
923375:  R.. 0x0360c
934750:  R.. 0x1677f
938375:  W.. 0x0760c
968375:  R.. 0x0360d
979625:  W.. 0x0760d
994625:  R.. 0x0687f
1009625:  R.. 0x0360e
1020875:  W.. 0x0760e
1054625:  R.. 0x1697f
1080875:  R.. 0x03680
1092125:  W.. 0x07680
1114625:  R.. 0x06a7f
1122000:  R.. 0x03681
1133250:  W.. 0x07681
1163250:  R.. 0x03682
1174625:  R.. 0x16b7f
1178375:  W.. 0x07682
1208375:  R.. 0x03683
1219625:  W.. 0x07683
1234625:  R.. 0x06c7f
1249625:  R.. 0x03684
1261000:  R.. 0x1ffff
1264750:  R.. 0x1ffff
1268500:  R.. 0x1ffff
1272250:  R.. 0x1ffff
1276000:  W.. 0x07684
1307375:  R.. 0x03685
1319125:  W.. 0x07685
1349125:  R.. 0x03686
1360375:  W.. 0x07686
1399750:  R.. 0x03687
1411000:  W.. 0x07687
1441000:  R.. 0x03688
1452250:  W.. 0x07688
1456000:  R.. 0x16d7f
1482250:  R.. 0x03689
1493375:  W.. 0x07689
1515875:  R.. 0x06e7f
1523375:  R.. 0x0368a
1534625:  W.. 0x0768a
1564625:  R.. 0x0368b
1575875:  R.. 0x16f7f
1579625:  W.. 0x0768b
1609625:  R.. 0x0368c
1620875:  W.. 0x0768c
1636000:  R.. 0x0707f
1651000:  R.. 0x0368d
1662250:  W.. 0x0768d
1692250:  R.. 0x0368e
1696000:  R.. 0x1717f
1703500:  W.. 0x0768e
1756125:  R.. 0x0727f
1763625:  R.. 0x03700
1774875:  W.. 0x07700
1804875:  R.. 0x03701
1816125:  R.. 0x1737f
1819875:  W.. 0x07701
1849875:  R.. 0x03702
1861125:  W.. 0x07702
1876125:  R.. 0x0747f
1891000:  R.. 0x03703
1902375:  R.. 0x1ffff
1906125:  R.. 0x1ffff
1909750:  R.. 0x1ffff
1913500:  R.. 0x1ffff
1917250:  W.. 0x07703
1948625:  R.. 0x03704
1960375:  W.. 0x07704
1990375:  R.. 0x03705
2001625:  W.. 0x07705
2041000:  R.. 0x03706
2052250:  W.. 0x07706
2082375:  R.. 0x03707
2093625:  W.. 0x07707
2097375:  R.. 0x1757f
2123625:  R.. 0x03708
2134875:  W.. 0x07708
2157375:  R.. 0x0767f
2164875:  R.. 0x03709
2176250:  W.. 0x07709
2206250:  R.. 0x0370a
2217500:  R.. 0x1777f
2221250:  W.. 0x0770a
2251250:  R.. 0x0370b
2262500:  W.. 0x0770b
2277500:  R.. 0x0787f
2292375:  R.. 0x0370c
2303625:  W.. 0x0770c
2333625:  R.. 0x0370d
2337375:  R.. 0x1797f
2344875:  W.. 0x0770d
2374875:  R.. 0x0370e
2386125:  W.. 0x0770e
2397375:  R.. 0x07a7f
2446125:  R.. 0x03780
2457375:  R.. 0x17b7f
2461125:  W.. 0x07780
2491125:  R.. 0x03781
2502375:  W.. 0x07781
2517375:  R.. 0x07c7f
2532500:  R.. 0x03782
2543750:  R.. 0x1ffff
2547500:  R.. 0x1ffff
2551250:  R.. 0x1ffff
2555000:  R.. 0x1ffff
2558750:  W.. 0x07782
2590125:  R.. 0x03783
2601875:  W.. 0x07783
2632000:  R.. 0x03784
2643250:  W.. 0x07784
2682625:  R.. 0x03785
2693875:  W.. 0x07785
2723750:  R.. 0x03786
2735000:  W.. 0x07786
2738750:  R.. 0x17d7f
2765000:  R.. 0x03787
2776250:  W.. 0x07787
2798750:  R.. 0x07e7f
2806250:  R.. 0x03788
2817500:  W.. 0x07788
2847375:  R.. 0x03789
2858750:  R.. 0x17f7f
2862500:  W.. 0x07789
2892500:  R.. 0x0378a
2903750:  W.. 0x0778a
2918750:  R.. 0x080bf
2933750:  R.. 0x0378b
2945000:  W.. 0x0778b
2975125:  R.. 0x0378c
2978875:  R.. 0x181bf
2986375:  W.. 0x0778c
3016375:  R.. 0x0378d
3027625:  W.. 0x0778d
3038875:  R.. 0x082bf
3057625:  R.. 0x0378e
3068875:  W.. 0x0778e
3099000:  R.. 0x183bf
3128875:  R.. 0x03800
3140125:  W.. 0x07800
3158875:  R.. 0x084bf
3170125:  R.. 0x03801
3181375:  W.. 0x07801
3185125:  R.. 0x1ffff
3188875:  R.. 0x1ffff
3192625:  R.. 0x1ffff
3196375:  R.. 0x1ffff
3211375:  R.. 0x03802
3222500:  W.. 0x07802
3254375:  R.. 0x03803
3265625:  W.. 0x07803
3295625:  R.. 0x03804
3323875:  W.. 0x07804
3353875:  R.. 0x03805
3365125:  W.. 0x07805
3380125:  R.. 0x185bf
3395125:  R.. 0x03806
3406375:  W.. 0x07806
3436500:  R.. 0x03807
3440250:  R.. 0x086bf
3447750:  W.. 0x07807
3477750:  R.. 0x03808
3489000:  W.. 0x07808
3500250:  R.. 0x187bf
3519000:  R.. 0x03809
3530250:  W.. 0x07809
3560250:  R.. 0x088bf
3564000:  R.. 0x0380a
3575250:  W.. 0x0780a
3605250:  R.. 0x0380b
3616500:  W.. 0x0780b
3620250:  R.. 0x189bf
3646375:  R.. 0x0380c
3657625:  W.. 0x0780c
3680125:  R.. 0x08abf
3687625:  R.. 0x0380d
3698875:  W.. 0x0780d
3728875:  R.. 0x0380e
3740125:  R.. 0x18bbf
3743875:  W.. 0x0780e
3800250:  R.. 0x08cbf
3804000:  R.. 0x03880
3815250:  W.. 0x07880
3826500:  R.. 0x1ffff
3830250:  R.. 0x1ffff
3834000:  R.. 0x1ffff
3837750:  R.. 0x1ffff
3845250:  R.. 0x03881
3856500:  W.. 0x07881
3888500:  R.. 0x03882
3899750:  W.. 0x07882
3929750:  R.. 0x03883
3941000:  W.. 0x07883
3969125:  R.. 0x03884
3980375:  W.. 0x07884
4010375:  R.. 0x03885
4021625:  R.. 0x18dbf
4025375:  W.. 0x07885
4055250:  R.. 0x03886
4066500:  W.. 0x07886
4081500:  R.. 0x08ebf
