3653625:  W.. 0x00d80
3676125:  W.. 0x00d81
3698625:  W.. 0x00d82
3709875:  R.. 0x0e0ff
3721125:  W.. 0x00d83
3743625:  W.. 0x00d84
3766125:  W.. 0x00d85
3769875:  R.. 0x1e1ff
3788625:  W.. 0x00d86
3811125:  W.. 0x00d87
3829875:  R.. 0x0e2ff
3833625:  W.. 0x00d88
3856250:  W.. 0x00d89
3878750:  W.. 0x00d8a
3890000:  R.. 0x1e3ff
3901250:  W.. 0x00d8b
3923750:  W.. 0x00d8c
3950125:  R.. 0x0e4ff
3972625:  W.. 0x00e00
3995125:  W.. 0x00e01
4010125:  R.. 0x1e5ff
4017625:  W.. 0x00e02
4036375:  R.. 0x1ffff
4040125:  R.. 0x1ffff
4043875:  R.. 0x1ffff
4047625:  R.. 0x1ffff
4051375:  W.. 0x00e03
4073750:  W.. 0x00e04
