3675750:  W.. 0x07006
3698375:  R.. 0x00a3f
3702000:  W.. 0x07007
3724500:  W.. 0x07008
3747000:  W.. 0x07009
3758250:  R.. 0x10b3f
3769500:  W.. 0x0700a
3792000:  W.. 0x0700b
3818250:  R.. 0x00c3f
3840750:  W.. 0x07080
3863250:  W.. 0x07081
3878250:  R.. 0x10d3f
3885750:  W.. 0x07082
3908250:  W.. 0x07083
3930750:  W.. 0x07084
3938250:  R.. 0x00e3f
3953250:  W.. 0x07085
3975750:  W.. 0x07086
3998375:  R.. 0x10f3f
4002125:  W.. 0x07087
4024625:  R.. 0x1ffff
4028375:  R.. 0x1ffff
4032125:  R.. 0x1ffff
4035875:  R.. 0x1ffff
4039625:  W.. 0x07088
4062125:  W.. 0x07089
4086500:  W.. 0x0708a
