3564000:  R.. 0x19d83
3575250:  W.. 0x1dd83
3579000:  R.. 0x1a5bf
3605375:  R.. 0x19d84
3616625:  W.. 0x1dd84
3639125:  R.. 0x0a6bf
3646625:  R.. 0x19d85
3657875:  W.. 0x1dd85
3699250:  R.. 0x1a7bf
3718000:  R.. 0x19e00
3729125:  W.. 0x1de00
3759125:  R.. 0x0a8bf
3762875:  R.. 0x19e01
3774125:  W.. 0x1de01
3785375:  R.. 0x1ffff
3789125:  R.. 0x1ffff
3792875:  R.. 0x1ffff
3796625:  R.. 0x1ffff
3804125:  R.. 0x19e02
3815375:  W.. 0x1de02
3847250:  R.. 0x19e03
3858375:  W.. 0x1de03
3888375:  R.. 0x19e04
3899625:  W.. 0x1de04
3927750:  R.. 0x19e05
3939000:  W.. 0x1de05
3980375:  R.. 0x1a9bf
3999125:  R.. 0x19e80
4010375:  W.. 0x1de80
4040500:  R.. 0x0aabf
4044250:  R.. 0x19e81
4055500:  W.. 0x1de81
4085500:  R.. 0x19e82
