3325125:  W.. 0x0afff
3340125:  R.. 0x1457f
3373750:  R.. 0x0707e
3385000:  W.. 0x0b07e
3400000:  R.. 0x0467f
3403750:  R.. 0x0707f
3415000:  W.. 0x0b07f
3460000:  R.. 0x1477f
3463750:  R.. 0x070fe
3475000:  W.. 0x0b0fe
3493750:  R.. 0x070ff
3505000:  W.. 0x0b0ff
3520000:  R.. 0x0487f
3546250:  R.. 0x1ffff
3550000:  R.. 0x1ffff
3553750:  R.. 0x1ffff
3557500:  R.. 0x1ffff
3561250:  R.. 0x0717e
3572500:  W.. 0x0b17e
3592750:  R.. 0x0717f
3604500:  W.. 0x0b17f
3653250:  R.. 0x071fe
3664500:  W.. 0x0b1fe
3685250:  R.. 0x071ff
3696500:  W.. 0x0b1ff
3741500:  R.. 0x1497f
3745250:  R.. 0x0727e
3756500:  W.. 0x0b27e
3775250:  R.. 0x0727f
3786375:  W.. 0x0b27f
3801375:  R.. 0x04a7f
3835125:  R.. 0x072fe
3846375:  W.. 0x0b2fe
3861375:  R.. 0x14b7f
3865125:  R.. 0x072ff
3876375:  W.. 0x0b2ff
3921375:  R.. 0x04c7f
3925125:  R.. 0x0737e
3936375:  W.. 0x0b37e
3955125:  R.. 0x0737f
3966375:  W.. 0x0b37f
3981375:  R.. 0x14d7f
4015125:  R.. 0x073fe
4026500:  W.. 0x0b3fe
4041500:  R.. 0x04e7f
4045250:  R.. 0x073ff
4056500:  W.. 0x0b3ff
