3599250:  W.. 0x08484
3629250:  R.. 0x04485
3636750:  R.. 0x0747f
3640500:  W.. 0x08485
3670375:  R.. 0x04486
3681625:  W.. 0x08486
3696625:  R.. 0x1757f
3711625:  R.. 0x04487
3722875:  W.. 0x08487
3756625:  R.. 0x0767f
3782875:  R.. 0x04500
3794125:  W.. 0x08500
3816625:  R.. 0x1777f
3824125:  R.. 0x04501
3835375:  W.. 0x08501
3865500:  R.. 0x04502
3876750:  R.. 0x0787f
3880500:  W.. 0x08502
3910500:  R.. 0x04503
3921750:  W.. 0x08503
3936875:  R.. 0x1797f
3951875:  R.. 0x04504
3963125:  W.. 0x08504
3993125:  R.. 0x04505
3996875:  R.. 0x07a7f
4004375:  W.. 0x08505
4034375:  R.. 0x04506
4045500:  W.. 0x08506
4056875:  R.. 0x17b7f
4075500:  R.. 0x04507
4083000:  R.. 0x1ffff
4086750:  R.. 0x1ffff
4090500:  R.. 0x1ffff
4094250:  R.. 0x1ffff
