21750:  R.. 0x03784
33000:  W.. 0x07784
95000:  R.. 0x03800
106250:  W.. 0x07800
113750:  R.. 0x1d5ff
136250:  R.. 0x03801
147375:  W.. 0x07801
173625:  R.. 0x0d6ff
177375:  R.. 0x03802
188625:  W.. 0x07802
218625:  R.. 0x03803
229875:  W.. 0x07803
233625:  R.. 0x1d7ff
259875:  R.. 0x03804
271125:  W.. 0x07804
293625:  R.. 0x0d8ff
331125:  R.. 0x03880
342375:  W.. 0x07880
353625:  R.. 0x1d9ff
372375:  R.. 0x03881
383625:  W.. 0x07881
413625:  R.. 0x0daff
417375:  R.. 0x03882
428625:  W.. 0x07882
458750:  R.. 0x03883
470000:  W.. 0x07883
473750:  R.. 0x1dbff
500000:  R.. 0x03884
511250:  W.. 0x07884
533750:  R.. 0x0dcff
560125:  R.. 0x1ffff
563875:  R.. 0x1ffff
567625:  R.. 0x1ffff
571250:  R.. 0x1ffff
575000:  R.. 0x03900
586250:  W.. 0x07900
618125:  R.. 0x03901
629375:  W.. 0x07901
659375:  R.. 0x03902
670625:  W.. 0x07902
698750:  R.. 0x03903
709875:  W.. 0x07903
739875:  R.. 0x03904
751125:  W.. 0x07904
755000:  R.. 0x1ddff
811250:  R.. 0x03980
815000:  R.. 0x0deff
822500:  W.. 0x07980
852500:  R.. 0x03981
863750:  W.. 0x07981
875125:  R.. 0x1dfff
893750:  R.. 0x03982
905125:  W.. 0x07982
935125:  R.. 0x0e0ff
938875:  R.. 0x03983
950125:  W.. 0x07983
980125:  R.. 0x03984
991375:  W.. 0x07984
995125:  R.. 0x1e1ff
1051375:  R.. 0x03a00
1055125:  R.. 0x0e2ff
1062625:  W.. 0x07a00
1092625:  R.. 0x03a01
1103875:  W.. 0x07a01
1115125:  R.. 0x1e3ff
1133750:  R.. 0x03a02
1145000:  W.. 0x07a02
1175000:  R.. 0x0e4ff
1178750:  R.. 0x03a03
1190000:  W.. 0x07a03
1201250:  R.. 0x1ffff
1205000:  R.. 0x1ffff
1208750:  R.. 0x1ffff
1212500:  R.. 0x1ffff
1220000:  R.. 0x03a04
1231250:  W.. 0x07a04
1293250:  R.. 0x03a80
1304500:  W.. 0x07a80
1340250:  R.. 0x03a81
1351500:  W.. 0x07a81
1381500:  R.. 0x03a82
1392750:  W.. 0x07a82
1396500:  R.. 0x1e5ff
1422750:  R.. 0x03a83
1434000:  W.. 0x07a83
1456500:  R.. 0x0e6ff
1464000:  R.. 0x03a84
1475250:  W.. 0x07a84
1516500:  R.. 0x1e7ff
1535125:  R.. 0x03b00
1546375:  W.. 0x07b00
1576375:  R.. 0x0e8ff
1580125:  R.. 0x03b01
1591375:  W.. 0x07b01
1621375:  R.. 0x03b02
1632625:  W.. 0x07b02
1636375:  R.. 0x1e9ff
1662625:  R.. 0x03b03
1673875:  W.. 0x07b03
1696500:  R.. 0x0eaff
1704000:  R.. 0x03b04
1715250:  W.. 0x07b04
1756500:  R.. 0x1ebff
1775250:  R.. 0x03b80
1786500:  W.. 0x07b80
1816625:  R.. 0x0ecff
1820375:  R.. 0x03b81
1831625:  W.. 0x07b81
1842875:  R.. 0x1ffff
1846625:  R.. 0x1ffff
1850375:  R.. 0x1ffff
1854125:  R.. 0x1ffff
1861625:  R.. 0x03b82
1872875:  W.. 0x07b82
1904750:  R.. 0x03b83
1915875:  W.. 0x07b83
1945875:  R.. 0x03b84
1957125:  W.. 0x07b84
2019000:  R.. 0x03c00
2030250:  W.. 0x07c00
2037750:  R.. 0x1edff
2060250:  R.. 0x03c01
2071500:  W.. 0x07c01
2097750:  R.. 0x0eeff
2101500:  R.. 0x03c02
2112750:  W.. 0x07c02
2142750:  R.. 0x03c03
2154125:  W.. 0x07c03
2157875:  R.. 0x1efff
2184125:  R.. 0x03c04
2195375:  W.. 0x07c04
2217875:  R.. 0x0f0ff
2255500:  R.. 0x03c80
2266750:  W.. 0x07c80
2278000:  R.. 0x1f1ff
2296750:  R.. 0x03c81
2307875:  W.. 0x07c81
2337875:  R.. 0x0f2ff
2341625:  R.. 0x03c82
2352875:  W.. 0x07c82
2382875:  R.. 0x03c83
2394125:  W.. 0x07c83
2397875:  R.. 0x1f3ff
2424125:  R.. 0x03c84
2435375:  W.. 0x07c84
2457875:  R.. 0x0f4ff
2484125:  R.. 0x1ffff
2487875:  R.. 0x1ffff
2491625:  R.. 0x1ffff
2495375:  R.. 0x1ffff
2499125:  R.. 0x03d00
2510375:  W.. 0x07d00
2542250:  R.. 0x03d01
2553500:  W.. 0x07d01
2583500:  R.. 0x03d02
2594875:  W.. 0x07d02
2623000:  R.. 0x03d03
2634250:  W.. 0x07d03
2664250:  R.. 0x03d04
2675500:  W.. 0x07d04
2679375:  R.. 0x1f5ff
2735500:  R.. 0x03d80
2739250:  R.. 0x0f6ff
2746750:  W.. 0x07d80
2776750:  R.. 0x03d81
2788000:  W.. 0x07d81
2799250:  R.. 0x1f7ff
2818000:  R.. 0x03d82
2829125:  W.. 0x07d82
2859125:  R.. 0x0f8ff
2862875:  R.. 0x03d83
2874125:  W.. 0x07d83
2904125:  R.. 0x03d84
2915375:  W.. 0x07d84
2919250:  R.. 0x1f9ff
2975500:  R.. 0x03e00
2979250:  R.. 0x0faff
2986750:  W.. 0x07e00
3016750:  R.. 0x03e01
3028000:  W.. 0x07e01
3039375:  R.. 0x1fbff
3058125:  R.. 0x03e02
3069375:  W.. 0x07e02
3099375:  R.. 0x0fcff
3103125:  R.. 0x03e03
3114375:  W.. 0x07e03
3125625:  R.. 0x1ffff
3129375:  R.. 0x1ffff
3133125:  R.. 0x1ffff
3136875:  R.. 0x1ffff
3144375:  R.. 0x03e04
3155625:  W.. 0x07e04
3217500:  R.. 0x03e80
3228625:  W.. 0x07e80
3264250:  R.. 0x03e81
3275500:  W.. 0x07e81
3305500:  R.. 0x03e82
3316750:  W.. 0x07e82
3320500:  R.. 0x1fdff
3346750:  R.. 0x03e83
3358000:  W.. 0x07e83
3380500:  R.. 0x0feff
3388000:  R.. 0x03e84
3399375:  W.. 0x07e84
3440625:  R.. 0x1ffff
3459375:  R.. 0x03f00
3470625:  W.. 0x07f00
3500750:  R.. 0x0003f
