19250:  R.. 0x05180
30500:  W.. 0x05180
69875:  R.. 0x05181
81250:  W.. 0x05181
115000:  R.. 0x05181
126250:  R.. 0x1193f
130000:  W.. 0x05181
186375:  R.. 0x01a3f
193875:  R.. 0x05200
205125:  W.. 0x05200
238875:  R.. 0x05200
246375:  R.. 0x11b3f
250125:  W.. 0x05200
283875:  R.. 0x05201
295125:  W.. 0x05201
306375:  R.. 0x01c3f
328875:  R.. 0x05201
340125:  W.. 0x05201
366375:  R.. 0x11d3f
403875:  R.. 0x05280
415000:  W.. 0x05280
426250:  R.. 0x01e3f
448750:  R.. 0x05280
460000:  W.. 0x05280
486250:  R.. 0x11f3f
493750:  R.. 0x05281
505000:  W.. 0x05281
538875:  R.. 0x05281
546375:  R.. 0x0203f
550125:  W.. 0x05281
572625:  R.. 0x1ffff
576375:  R.. 0x1ffff
580125:  R.. 0x1ffff
583875:  R.. 0x1ffff
614375:  R.. 0x05300
627000:  W.. 0x05300
660875:  R.. 0x05300
672125:  W.. 0x05300
711500:  R.. 0x05301
722750:  W.. 0x05301
756500:  R.. 0x05301
767750:  R.. 0x1213f
771500:  W.. 0x05301
827625:  R.. 0x0223f
835125:  R.. 0x05380
846375:  W.. 0x05380
880125:  R.. 0x05380
887625:  R.. 0x1233f
891375:  W.. 0x05380
925125:  R.. 0x05381
936375:  W.. 0x05381
947625:  R.. 0x0243f
970125:  R.. 0x05381
981375:  W.. 0x05381
1007750:  R.. 0x1253f
1045250:  R.. 0x05400
1056500:  W.. 0x05400
1067750:  R.. 0x0263f
1090375:  R.. 0x05400
1101625:  W.. 0x05400
1127875:  R.. 0x1273f
1135375:  R.. 0x05401
1146625:  W.. 0x05401
1180375:  R.. 0x05401
1187875:  R.. 0x0283f
1191625:  W.. 0x05401
1214125:  R.. 0x1ffff
1217875:  R.. 0x1ffff
1221625:  R.. 0x1ffff
1225375:  R.. 0x1ffff
1255750:  R.. 0x05480
1268375:  W.. 0x05480
1302125:  R.. 0x05480
1313375:  W.. 0x05480
1352750:  R.. 0x05481
1364000:  W.. 0x05481
1397750:  R.. 0x05481
1409000:  R.. 0x1293f
1412750:  W.. 0x05481
1469125:  R.. 0x02a3f
1476625:  R.. 0x05500
1487875:  W.. 0x05500
1521625:  R.. 0x05500
1529250:  R.. 0x12b3f
1532875:  W.. 0x05500
1566750:  R.. 0x05501
1578000:  W.. 0x05501
1589250:  R.. 0x02c3f
1611625:  R.. 0x05501
1622875:  W.. 0x05501
1649125:  R.. 0x12d3f
1686625:  R.. 0x05580
1697875:  W.. 0x05580
1709125:  R.. 0x02e3f
1731625:  R.. 0x05580
1742875:  W.. 0x05580
1769125:  R.. 0x12f3f
1776625:  R.. 0x05581
1787875:  W.. 0x05581
1821625:  R.. 0x05581
1829125:  R.. 0x0303f
1832875:  W.. 0x05581
1855375:  R.. 0x1ffff
1859125:  R.. 0x1ffff
1862875:  R.. 0x1ffff
1866625:  R.. 0x1ffff
