24000:  R.. 0x14413
54000:  R.. 0x191bf
57750:  R.. 0x14414
91500:  R.. 0x14415
114000:  R.. 0x092bf
125250:  R.. 0x14416
159125:  R.. 0x14417
174125:  R.. 0x193bf
192875:  R.. 0x14418
226750:  R.. 0x14419
234250:  R.. 0x094bf
260500:  R.. 0x1441a
294250:  R.. 0x195bf
298000:  R.. 0x1441b
328000:  R.. 0x1441c
354250:  R.. 0x096bf
361750:  R.. 0x1441d
395375:  R.. 0x1441e
414125:  R.. 0x197bf
429125:  R.. 0x1441f
440375:  R.. 0x1ffff
444125:  R.. 0x1ffff
447875:  R.. 0x1ffff
451625:  R.. 0x1ffff
462875:  R.. 0x14420
494750:  R.. 0x14421
528500:  R.. 0x14422
579250:  R.. 0x14423
594250:  R.. 0x14424
628000:  R.. 0x14425
635500:  R.. 0x098bf
661750:  R.. 0x14426
695625:  R.. 0x199bf
699375:  R.. 0x14427
729375:  R.. 0x14428
755625:  R.. 0x09abf
763125:  R.. 0x14429
796750:  R.. 0x1442a
815500:  R.. 0x19bbf
830500:  R.. 0x1442b
864250:  R.. 0x1442c
875500:  R.. 0x09cbf
898000:  R.. 0x1442d
931750:  R.. 0x1442e
935500:  R.. 0x19dbf
965500:  R.. 0x1442f
995500:  R.. 0x09ebf
999250:  R.. 0x14430
1033125:  R.. 0x14431
1055625:  R.. 0x19fbf
1063125:  R.. 0x14432
1081875:  R.. 0x1ffff
1085625:  R.. 0x1ffff
1089375:  R.. 0x1ffff
1093125:  R.. 0x1ffff
1096875:  R.. 0x14433
1132625:  R.. 0x14434
1166375:  R.. 0x14435
1200000:  R.. 0x14436
1231875:  R.. 0x14437
1265625:  R.. 0x14438
1276875:  R.. 0x0a0bf
1336875:  R.. 0x1a1bf
1381875:  R.. 0x14439
1396875:  R.. 0x0a2bf
1415625:  R.. 0x1443a
1449375:  R.. 0x1443b
1456875:  R.. 0x1a3bf
1483250:  R.. 0x1443c
1517000:  R.. 0x0a4bf
1520750:  R.. 0x1443d
1550750:  R.. 0x1443e
1577000:  R.. 0x1a5bf
1584500:  R.. 0x1443f
1618250:  R.. 0x14440
1637000:  R.. 0x0a6bf
1652000:  R.. 0x14441
1685750:  R.. 0x14442
1697000:  R.. 0x1a7bf
1719375:  R.. 0x14443
1723125:  R.. 0x1ffff
1726875:  R.. 0x1ffff
1730625:  R.. 0x1ffff
1734375:  R.. 0x1ffff
1753125:  R.. 0x14444
1785000:  R.. 0x14445
1818750:  R.. 0x14446
1862000:  R.. 0x14447
1888250:  R.. 0x14448
1918250:  R.. 0x0a8bf
1922125:  R.. 0x14449
1952125:  R.. 0x1444a
1978375:  R.. 0x1a9bf
1985875:  R.. 0x1444b
2019625:  R.. 0x1444c
2038375:  R.. 0x0aabf
2053375:  R.. 0x1444d
2087125:  R.. 0x1444e
2098375:  R.. 0x1abbf
2120750:  R.. 0x1444f
2154500:  R.. 0x14450
2158250:  R.. 0x0acbf
2188250:  R.. 0x14451
2218250:  R.. 0x1adbf
2222000:  R.. 0x14452
2255750:  R.. 0x14453
2278250:  R.. 0x0aebf
2289625:  R.. 0x14454
2323375:  R.. 0x14455
2338375:  R.. 0x1afbf
2357125:  R.. 0x14456
2364625:  R.. 0x1ffff
2368375:  R.. 0x1ffff
2372250:  R.. 0x1ffff
2376000:  R.. 0x1ffff
2391000:  R.. 0x14457
2422875:  R.. 0x14458
2456625:  R.. 0x14459
2503500:  R.. 0x1445a
2522250:  R.. 0x1445b
2555875:  R.. 0x1445c
2559625:  R.. 0x0b0bf
2589625:  R.. 0x1445d
2619625:  R.. 0x1b1bf
2623375:  R.. 0x1445e
2657125:  R.. 0x1445f
2679625:  R.. 0x0b2bf
2690875:  R.. 0x14460
2739750:  R.. 0x1b3bf
2799750:  R.. 0x0b4bf
2807250:  R.. 0x14461
2841125:  R.. 0x14462
