3845875:  W.. 0x1ed00
3881500:  R.. 0x1ed00
3892750:  W.. 0x1ed00
3926625:  R.. 0x1ed01
3937875:  W.. 0x1ed01
3999750:  R.. 0x1ed80
4011000:  W.. 0x1ed80
4026000:  R.. 0x0d4ff
4044750:  R.. 0x1ed80
4056000:  W.. 0x1ed80
4086000:  R.. 0x1d5ff
4089750:  R.. 0x1ed81
