17000:  R.. 0x17995
35750:  R.. 0x1497f
50750:  R.. 0x17996
84500:  R.. 0x17997
95750:  R.. 0x04a7f
118250:  R.. 0x17998
152000:  R.. 0x17999
155750:  R.. 0x14b7f
185750:  R.. 0x1799a
215750:  R.. 0x04c7f
219500:  R.. 0x1799b
253125:  R.. 0x1799c
275625:  R.. 0x14d7f
286875:  R.. 0x1799d
320625:  R.. 0x1799e
335625:  R.. 0x04e7f
350625:  R.. 0x1799f
384500:  R.. 0x179a0
395750:  R.. 0x14f7f
418250:  R.. 0x179a1
422000:  R.. 0x1ffff
425750:  R.. 0x1ffff
429500:  R.. 0x1ffff
433250:  R.. 0x1ffff
452000:  R.. 0x179a2
487750:  R.. 0x179a3
521500:  R.. 0x179a4
560875:  R.. 0x179a5
587125:  R.. 0x179a6
617125:  R.. 0x0507f
620875:  R.. 0x179a7
654500:  R.. 0x179a8
677000:  R.. 0x1517f
737000:  R.. 0x0527f
770750:  R.. 0x179a9
797000:  R.. 0x1537f
804500:  R.. 0x179aa
838375:  R.. 0x179ab
857125:  R.. 0x0547f
872125:  R.. 0x179ac
905875:  R.. 0x179ad
917250:  R.. 0x1557f
939750:  R.. 0x179ae
973500:  R.. 0x179af
977250:  R.. 0x0567f
1007250:  R.. 0x179b0
1037250:  R.. 0x1577f
1041000:  R.. 0x179b1
1063375:  R.. 0x1ffff
1067125:  R.. 0x1ffff
1070875:  R.. 0x1ffff
1074625:  R.. 0x1ffff
1078375:  R.. 0x179b2
1109750:  R.. 0x179b3
1140250:  R.. 0x179b4
1174000:  R.. 0x179b5
1205875:  R.. 0x179b6
1239625:  R.. 0x179b7
1258375:  R.. 0x0587f
1273500:  R.. 0x179b8
1307250:  R.. 0x179b9
1318500:  R.. 0x1597f
1341000:  R.. 0x179ba
1374875:  R.. 0x179bb
1378625:  R.. 0x05a7f
1408625:  R.. 0x179bc
1438625:  R.. 0x15b7f
1442375:  R.. 0x179bd
1476000:  R.. 0x179be
1498500:  R.. 0x05c7f
