3657000:  W.. 0x04604
3722500:  R.. 0x00680
3733750:  W.. 0x04680
3763750:  R.. 0x00681
3775000:  W.. 0x04681
3778875:  R.. 0x14d7f
3805125:  R.. 0x00682
3816375:  W.. 0x04682
3838875:  R.. 0x04e7f
3846375:  R.. 0x00683
3857625:  W.. 0x04683
3887625:  R.. 0x00684
3899000:  R.. 0x14f7f
3902750:  W.. 0x04684
3959000:  R.. 0x0507f
3962750:  R.. 0x00700
3974000:  W.. 0x04700
4004000:  R.. 0x00701
4015250:  W.. 0x04701
4019000:  R.. 0x1517f
4045250:  R.. 0x00702
4056500:  W.. 0x04702
4079000:  R.. 0x0527f
4086375:  R.. 0x00703
