3063000:  W.. 0x1d99c
3066750:  R.. 0x1ffff
3070500:  R.. 0x1ffff
3074250:  R.. 0x1ffff
3078000:  R.. 0x1ffff
3085500:  W.. 0x1d99d
3108375:  W.. 0x1d99e
3132250:  W.. 0x1d99f
3154750:  W.. 0x1d9a0
3162250:  R.. 0x14684
3177250:  W.. 0x1d9a1
3205375:  W.. 0x1d9a2
3227875:  W.. 0x1d9a3
3250375:  W.. 0x1d9a4
3261625:  R.. 0x03a3f
3269250:  R.. 0x14685
3272875:  W.. 0x1d9a5
3295500:  W.. 0x1d9a6
3318000:  W.. 0x1d9a7
3321750:  R.. 0x13b3f
3340500:  W.. 0x1d9a8
3363000:  W.. 0x1d9a9
3370625:  R.. 0x14686
3381875:  R.. 0x03c3f
3385625:  W.. 0x1d9aa
3408125:  W.. 0x1d9ab
3430625:  W.. 0x1d9ac
3441875:  R.. 0x13d3f
3453125:  W.. 0x1d9ad
3475625:  R.. 0x14687
3479375:  W.. 0x1d9ae
3501875:  R.. 0x03e3f
3505625:  W.. 0x1d9af
3528125:  W.. 0x1d9b0
3550500:  W.. 0x1d9b1
3561750:  R.. 0x13f3f
3573000:  W.. 0x1d9b2
3576750:  R.. 0x14688
3595500:  W.. 0x1d9b3
3618000:  W.. 0x1d9b4
3621750:  R.. 0x0407f
3640500:  W.. 0x1d9b5
3663000:  W.. 0x1d9b6
3681750:  R.. 0x1417f
3685500:  R.. 0x14689
3689250:  W.. 0x1d9b7
3708000:  R.. 0x1ffff
3711750:  R.. 0x1ffff
3715500:  R.. 0x1ffff
3719250:  R.. 0x1ffff
3723000:  W.. 0x1d9b8
3745625:  W.. 0x1d9b9
3770000:  W.. 0x1d9ba
3785000:  R.. 0x1468a
3792500:  W.. 0x1d9bb
3815000:  W.. 0x1d9bc
3847000:  W.. 0x1d9bd
3869500:  W.. 0x1d9be
3888250:  R.. 0x1468b
3892000:  W.. 0x1d9bf
3903250:  R.. 0x0427f
3914500:  W.. 0x1d9c0
3936875:  W.. 0x1d9c1
3959375:  W.. 0x1d9c2
3963125:  R.. 0x1437f
3981875:  W.. 0x1d9c3
3993125:  R.. 0x1468c
4004375:  W.. 0x1d9c4
4023125:  R.. 0x0447f
4026875:  W.. 0x1d9c5
4049375:  W.. 0x1d9c6
4071875:  W.. 0x1d9c7
4083125:  R.. 0x1457f
4094375:  R.. 0x1468d
