20750:  R.. 0x17289
39500:  R.. 0x1728a
73250:  R.. 0x1728b
77000:  R.. 0x0487f
107000:  R.. 0x1728c
137000:  R.. 0x1497f
140750:  R.. 0x1728d
170750:  R.. 0x1728e
197125:  R.. 0x04a7f
204625:  R.. 0x1728f
238375:  R.. 0x17290
257125:  R.. 0x14b7f
272125:  R.. 0x17291
306000:  R.. 0x17292
317250:  R.. 0x04c7f
339750:  R.. 0x17293
373500:  R.. 0x17294
377250:  R.. 0x14d7f
407125:  R.. 0x17295
437125:  R.. 0x04e7f
440875:  R.. 0x17296
474625:  R.. 0x17297
497125:  R.. 0x14f7f
508375:  R.. 0x17298
523375:  R.. 0x1ffff
527125:  R.. 0x1ffff
530875:  R.. 0x1ffff
534625:  R.. 0x1ffff
542125:  R.. 0x17299
577750:  R.. 0x1729a
607750:  R.. 0x1729b
641625:  R.. 0x1729c
673500:  R.. 0x1729d
707250:  R.. 0x1729e
718500:  R.. 0x0507f
741125:  R.. 0x1729f
774875:  R.. 0x172a0
778625:  R.. 0x1517f
838500:  R.. 0x0527f
894750:  R.. 0x172a1
898500:  R.. 0x1537f
928375:  R.. 0x172a2
958375:  R.. 0x0547f
962125:  R.. 0x172a3
992250:  R.. 0x172a4
1018500:  R.. 0x1557f
1026000:  R.. 0x172a5
1059750:  R.. 0x172a6
1078500:  R.. 0x0567f
1093625:  R.. 0x172a7
1127375:  R.. 0x172a8
1138625:  R.. 0x1577f
1161125:  R.. 0x172a9
1164875:  R.. 0x1ffff
1168625:  R.. 0x1ffff
1172375:  R.. 0x1ffff
1176125:  R.. 0x1ffff
1194875:  R.. 0x172aa
1230500:  R.. 0x172ab
1260500:  R.. 0x172ac
1303625:  R.. 0x172ad
1329750:  R.. 0x172ae
1359750:  R.. 0x0587f
1363500:  R.. 0x172af
1397250:  R.. 0x172b0
1419750:  R.. 0x1597f
1431000:  R.. 0x172b1
1464875:  R.. 0x172b2
1479875:  R.. 0x05a7f
1498625:  R.. 0x172b3
1528750:  R.. 0x172b4
1540000:  R.. 0x15b7f
1562500:  R.. 0x172b5
1596250:  R.. 0x172b6
1600000:  R.. 0x05c7f
1630000:  R.. 0x172b7
1660000:  R.. 0x15d7f
1663750:  R.. 0x172b8
1697500:  R.. 0x172b9
1719875:  R.. 0x05e7f
1731125:  R.. 0x172ba
1764875:  R.. 0x172bb
1779875:  R.. 0x15f7f
1798625:  R.. 0x172bc
1806125:  R.. 0x1ffff
1809875:  R.. 0x1ffff
1813625:  R.. 0x1ffff
1817375:  R.. 0x1ffff
1832375:  R.. 0x172bd
1868000:  R.. 0x172be
1898125:  R.. 0x172bf
1945000:  R.. 0x172c0
1967500:  R.. 0x172c1
2001375:  R.. 0x0607f
2005125:  R.. 0x172c2
2035125:  R.. 0x172c3
2061375:  R.. 0x1617f
2068875:  R.. 0x172c4
2098875:  R.. 0x172c5
2121250:  R.. 0x0627f
2132500:  R.. 0x172c6
2166250:  R.. 0x172c7
2181250:  R.. 0x1637f
2200000:  R.. 0x172c8
2241250:  R.. 0x0647f
2301250:  R.. 0x1657f
2320000:  R.. 0x172c9
2353875:  R.. 0x172ca
2361375:  R.. 0x0667f
2387625:  R.. 0x172cb
2417625:  R.. 0x172cc
2421375:  R.. 0x1677f
2447750:  R.. 0x1ffff
2451500:  R.. 0x1ffff
2455250:  R.. 0x1ffff
2459000:  R.. 0x1ffff
2462750:  R.. 0x172cd
2485250:  R.. 0x172ce
2520875:  R.. 0x172cf
2554500:  R.. 0x172d0
2586375:  R.. 0x172d1
2620125:  R.. 0x172d2
2642625:  R.. 0x0687f
2653875:  R.. 0x172d3
2687625:  R.. 0x172d4
2702625:  R.. 0x1697f
2721375:  R.. 0x172d5
2755125:  R.. 0x172d6
2762625:  R.. 0x06a7f
2788875:  R.. 0x172d7
2822750:  R.. 0x16b7f
2826500:  R.. 0x172d8
2856500:  R.. 0x172d9
2882750:  R.. 0x06c7f
2890375:  R.. 0x172da
2924125:  R.. 0x172db
2942750:  R.. 0x16d7f
2954000:  R.. 0x172dc
2987750:  R.. 0x172dd
3002750:  R.. 0x06e7f
3021500:  R.. 0x172de
3055250:  R.. 0x172df
3062750:  R.. 0x16f7f
3088875:  R.. 0x1ffff
3092625:  R.. 0x1ffff
3096375:  R.. 0x1ffff
3100125:  R.. 0x1ffff
3103875:  R.. 0x172e0
3122625:  R.. 0x172e1
3158375:  R.. 0x172e2
3192125:  R.. 0x172e3
3227750:  R.. 0x172e4
3257875:  R.. 0x172e5
3284125:  R.. 0x0707f
3291625:  R.. 0x172e6
3325375:  R.. 0x172e7
3344125:  R.. 0x1717f
3359125:  R.. 0x172e8
3392875:  R.. 0x172e9
3404125:  R.. 0x0727f
3426625:  R.. 0x172ea
3460375:  R.. 0x172eb
3464125:  R.. 0x1737f
3494000:  R.. 0x172ec
3524000:  R.. 0x0747f
3527750:  R.. 0x172ed
3557750:  R.. 0x172ee
3584000:  R.. 0x1757f
3591500:  R.. 0x172ef
3625375:  R.. 0x172f0
3644125:  R.. 0x0767f
3704250:  R.. 0x1777f
3730500:  R.. 0x1ffff
3734250:  R.. 0x1ffff
3738000:  R.. 0x1ffff
3741750:  R.. 0x1ffff
3745500:  R.. 0x172f1
3781125:  R.. 0x172f2
3811125:  R.. 0x172f3
3844875:  R.. 0x172f4
3876750:  R.. 0x172f5
3910375:  R.. 0x172f6
3925375:  R.. 0x0787f
3944125:  R.. 0x172f7
3977875:  R.. 0x172f8
3985375:  R.. 0x1797f
4011625:  R.. 0x172f9
4045375:  R.. 0x07a7f
4049125:  R.. 0x172fa
4079250:  R.. 0x172fb
