    0:  W.v 0x10000
590125:  R.. 0x0d67c
593000:  R.. 0x1dbff
595750:  R.v 0x04d78
597625:  Rbv 0x04d79
599500:  Rbv 0x04d7a
601375:  Rbv 0x04d7b
605125:  R.. 0x1ffff
610750:  R.v 0x04d7c
612625:  Rbv 0x04d7d
614500:  Rbv 0x04d7e
616375:  Rbv 0x04d7f
620125:  R.. 0x0d600
622000:  Rb. 0x0d601
623875:  Rb. 0x0d602
626125:  R.. 0x0d600
628000:  Rb. 0x0d601
629875:  Rb. 0x0d602
635000:  R.. 0x0d80a
636875:  Rb. 0x0d81a
639750:  R.. 0x0d40a
642500:  R.. 0x0d80a
644375:  Rb. 0x0d81a
647250:  R.. 0x0d40a
650000:  R.. 0x0d600
651875:  Rb. 0x0d601
653750:  Rb. 0x0d602
656125:  R.. 0x0d600
658000:  Rb. 0x0d601
659875:  Rb. 0x0d602
663125:  R.. 0x16034
666875:  R.. 0x0d80a
668750:  Rb. 0x0d81a
671625:  R.. 0x0d40a
674375:  R.. 0x0d80a
676250:  Rb. 0x0d81a
679125:  R.. 0x0d40a
681875:  R.. 0x0d600
683750:  Rb. 0x0d601
685625:  Rb. 0x0d602
688000:  R.. 0x0d600
689875:  Rb. 0x0d601
691750:  Rb. 0x0d602
694125:  W.. 0x16035
696875:  R.. 0x0d80a
698750:  Rb. 0x0d81a
701625:  R.. 0x0d40a
704375:  R.. 0x0d80a
706250:  Rb. 0x0d81a
709125:  R.. 0x0d40a
711875:  R.. 0x0d600
713750:  Rb. 0x0d601
715625:  Rb. 0x0d602
718000:  R.. 0x0d600
719875:  Rb. 0x0d601
721750:  Rb. 0x0d602
724125:  R.. 0x16036
727000:  R.. 0x0d80a
728875:  Rb. 0x0d81a
731625:  R.. 0x0d40a
734500:  R.. 0x0d80a
736375:  Rb. 0x0d81a
739125:  R.. 0x0d40a
757000:  W.. 0x16037
766375:  R.. 0x0d600
772000:  R.. 0x1ffff
773875:  Rb. 0x1ffff
775750:  Rb. 0x1ffff
777625:  Rb. 0x1ffff
781375:  R.. 0x0d604
784250:  R.. 0x16038
787000:  R.v 0x04d80
788875:  Rbv 0x04d81
790750:  Rbv 0x04d82
792625:  Rbv 0x04d83
796375:  R.. 0x0d608
802000:  R.v 0x04d84
803875:  Rbv 0x04d85
805750:  Rbv 0x04d86
807625:  Rbv 0x04d87
811375:  R.. 0x0d60c
814250:  R.. 0x0dcff
817000:  R.v 0x04d88
818875:  Rbv 0x04d89
820750:  Rbv 0x04d8a
822750:  Rbv 0x04d8b
826500:  R.. 0x0d610
829250:  W.. 0x16039
832125:  R.v 0x04d8c
834000:  Rbv 0x04d8d
835875:  Rbv 0x04d8e
837750:  Rbv 0x04d8f
841500:  R.. 0x0d614
847125:  R.v 0x04d90
849000:  Rbv 0x04d91
850875:  Rbv 0x04d92
852750:  Rbv 0x04d93
856500:  R.. 0x0d618
859375:  R.. 0x1603a
862125:  R.v 0x04d94
864000:  Rbv 0x04d95
865875:  Rbv 0x04d96
867750:  Rbv 0x04d97
871500:  R.. 0x0d61c
874375:  R.. 0x1ddff
877125:  R.v 0x04d98
879000:  Rbv 0x04d99
880875:  Rbv 0x04d9a
882750:  Rbv 0x04d9b
886500:  R.. 0x0d620
889375:  W.. 0x1603b
892125:  R.v 0x04d9c
894000:  Rbv 0x04d9d
895875:  Rbv 0x04d9e
897750:  Rbv 0x04d9f
901500:  R.. 0x0d624
907125:  R.v 0x04da0
909000:  Rbv 0x04da1
910875:  Rbv 0x04da2
912750:  Rbv 0x04da3
916500:  R.. 0x0d628
919375:  R.. 0x1603c
922125:  R.v 0x04da4
924000:  Rbv 0x04da5
925875:  Rbv 0x04da6
927750:  Rbv 0x04da7
931500:  R.. 0x0d62c
934375:  R.. 0x0deff
937125:  R.v 0x04da8
939000:  Rbv 0x04da9
940875:  Rbv 0x04daa
942750:  Rbv 0x04dab
946500:  R.. 0x0d630
949375:  W.. 0x1603d
952125:  R.v 0x04dac
954000:  Rbv 0x04dad
955875:  Rbv 0x04dae
957750:  Rbv 0x04daf
961500:  R.. 0x0d634
967125:  R.v 0x04db0
969000:  Rbv 0x04db1
970875:  Rbv 0x04db2
972750:  Rbv 0x04db3
976500:  R.. 0x0d638
982125:  R.v 0x04db4
984000:  Rbv 0x04db5
985875:  Rbv 0x04db6
987750:  Rbv 0x04db7
991500:  R.. 0x0d63c
994375:  R.. 0x1dfff
997125:  R.v 0x04db8
999000:  Rbv 0x04db9
1000875:  Rbv 0x04dba
1002750:  Rbv 0x04dbb
1006500:  R.. 0x0d640
1009250:  W.. 0x1603e
1012125:  R.v 0x04dbc
1014000:  Rbv 0x04dbd
1015875:  Rbv 0x04dbe
1017750:  Rbv 0x04dbf
1021500:  R.. 0x0d644
1027125:  R.v 0x04dc0
1029000:  Rbv 0x04dc1
1030875:  Rbv 0x04dc2
1032750:  Rbv 0x04dc3
1036375:  R.. 0x0d648
1042000:  R.v 0x04dc4
1043875:  Rbv 0x04dc5
1045750:  Rbv 0x04dc6
1047625:  Rbv 0x04dc7
1051375:  R.. 0x0d64c
