 9500:  R.. 0x14006
43250:  R.. 0x14007
54625:  R.. 0x195bf
77125:  R.. 0x14008
110875:  R.. 0x14009
114625:  R.. 0x096bf
140875:  R.. 0x1ffff
144625:  R.. 0x1ffff
148375:  R.. 0x1ffff
152250:  R.. 0x1ffff
155875:  R.. 0x1400a
174750:  R.. 0x1400b
210250:  R.. 0x1400c
244000:  R.. 0x1400d
279625:  R.. 0x1400e
309625:  R.. 0x1400f
335875:  R.. 0x197bf
343250:  R.. 0x14010
377000:  R.. 0x14011
395750:  R.. 0x098bf
410875:  R.. 0x14012
444625:  R.. 0x14013
455875:  R.. 0x199bf
478375:  R.. 0x14014
512250:  R.. 0x14015
516000:  R.. 0x09abf
546000:  R.. 0x14016
576000:  R.. 0x19bbf
579750:  R.. 0x14017
613500:  R.. 0x14018
636000:  R.. 0x09cbf
647250:  R.. 0x14019
681000:  R.. 0x1401a
696000:  R.. 0x19dbf
714750:  R.. 0x1401b
744625:  R.. 0x1401c
755875:  R.. 0x09ebf
778375:  R.. 0x1401d
782125:  R.. 0x1ffff
785875:  R.. 0x1ffff
789625:  R.. 0x1ffff
793375:  R.. 0x1ffff
812125:  R.. 0x1401e
847750:  R.. 0x1401f
881625:  R.. 0x14020
921000:  R.. 0x14021
947375:  R.. 0x14022
977375:  R.. 0x19fbf
981125:  R.. 0x14023
1014875:  R.. 0x14024
1037375:  R.. 0x0a0bf
1048625:  R.. 0x14025
1082375:  R.. 0x14026
1097375:  R.. 0x1a1bf
1116125:  R.. 0x14027
1149750:  R.. 0x14028
1157250:  R.. 0x0a2bf
1217250:  R.. 0x1a3bf
1266000:  R.. 0x14029
1277250:  R.. 0x0a4bf
1299750:  R.. 0x1402a
1333625:  R.. 0x1402b
1337375:  R.. 0x1a5bf
1367375:  R.. 0x1402c
1397375:  R.. 0x0a6bf
1401250:  R.. 0x1402d
1423750:  R.. 0x1ffff
1427500:  R.. 0x1ffff
1431250:  R.. 0x1ffff
1435000:  R.. 0x1ffff
1438750:  R.. 0x1402e
1470125:  R.. 0x1402f
1500625:  R.. 0x14030
1534375:  R.. 0x14031
1569875:  R.. 0x14032
1599875:  R.. 0x14033
1618625:  R.. 0x1a7bf
1633625:  R.. 0x14034
1667375:  R.. 0x14035
1678625:  R.. 0x0a8bf
1701125:  R.. 0x14036
1734875:  R.. 0x14037
1738625:  R.. 0x1a9bf
1768750:  R.. 0x14038
1798750:  R.. 0x0aabf
1802500:  R.. 0x14039
1836250:  R.. 0x1403a
1858875:  R.. 0x1abbf
1870125:  R.. 0x1403b
1903875:  R.. 0x1403c
1918875:  R.. 0x0acbf
1937625:  R.. 0x1403d
1971250:  R.. 0x1403e
1978750:  R.. 0x1adbf
2005000:  R.. 0x1403f
2038750:  R.. 0x0aebf
2042500:  R.. 0x14040
2065000:  R.. 0x1ffff
2068750:  R.. 0x1ffff
2072500:  R.. 0x1ffff
2076250:  R.. 0x1ffff
2080000:  R.. 0x14041
2106625:  R.. 0x14042
2138125:  R.. 0x14043
2171875:  R.. 0x14044
2203875:  R.. 0x14045
2237625:  R.. 0x14046
2260125:  R.. 0x1afbf
2271375:  R.. 0x14047
2305125:  R.. 0x14048
2320125:  R.. 0x0b0bf
2338875:  R.. 0x14049
2372625:  R.. 0x1404a
2380125:  R.. 0x1b1bf
2406375:  R.. 0x1404b
2440125:  R.. 0x0b2bf
2443875:  R.. 0x1404c
2473750:  R.. 0x1404d
2500000:  R.. 0x1b3bf
2507500:  R.. 0x1404e
2541250:  R.. 0x1404f
2560125:  R.. 0x0b4bf
2575125:  R.. 0x14050
2620125:  R.. 0x1b5bf
2680250:  R.. 0x0b6bf
2691500:  R.. 0x14051
2706500:  R.. 0x1ffff
2710250:  R.. 0x1ffff
2714000:  R.. 0x1ffff
2717750:  R.. 0x1ffff
2725250:  R.. 0x14052
2760875:  R.. 0x14053
2790875:  R.. 0x14054
2824625:  R.. 0x14055
2860250:  R.. 0x14056
2893875:  R.. 0x14057
2901375:  R.. 0x1b7bf
2927625:  R.. 0x14058
2961375:  R.. 0x0b8bf
2965125:  R.. 0x14059
2995125:  R.. 0x1405a
3021500:  R.. 0x1b9bf
3029000:  R.. 0x1405b
3059000:  R.. 0x1405c
3081500:  R.. 0x0babf
3092750:  R.. 0x1405d
3126625:  R.. 0x1405e
3141625:  R.. 0x1bbbf
3160375:  R.. 0x1405f
3194125:  R.. 0x14060
3201625:  R.. 0x0bcbf
3227875:  R.. 0x14061
3261625:  R.. 0x1bdbf
3265375:  R.. 0x14062
3295250:  R.. 0x14063
3321500:  R.. 0x0bebf
3329000:  R.. 0x14064
3347750:  R.. 0x1ffff
3351500:  R.. 0x1ffff
3355250:  R.. 0x1ffff
3359000:  R.. 0x1ffff
3362750:  R.. 0x14065
3398375:  R.. 0x14066
3428375:  R.. 0x14067
3462125:  R.. 0x14068
3497875:  R.. 0x14069
3531625:  R.. 0x1406a
3542875:  R.. 0x1bfbf
3565500:  R.. 0x1406b
3595500:  R.. 0x1406c
3603000:  R.. 0x0c0ff
3629250:  R.. 0x1406d
3663000:  R.. 0x1c1ff
3666750:  R.. 0x1406e
3696750:  R.. 0x1406f
3722875:  R.. 0x0c2ff
3730375:  R.. 0x14070
3764125:  R.. 0x14071
3782875:  R.. 0x1c3ff
3797875:  R.. 0x14072
3831625:  R.. 0x14073
3842875:  R.. 0x0c4ff
3865375:  R.. 0x14074
3899125:  R.. 0x14075
3902875:  R.. 0x1c5ff
3933000:  R.. 0x14076
