 1625:  R.. 0x15750
33500:  R.. 0x15751
67375:  R.. 0x15752
110500:  R.. 0x15753
136875:  R.. 0x15754
166875:  R.. 0x1ebff
170625:  R.. 0x15755
200500:  R.. 0x15756
226750:  R.. 0x0ecff
234250:  R.. 0x15757
268000:  R.. 0x15758
286750:  R.. 0x1edff
301750:  R.. 0x15759
335375:  R.. 0x1575a
346625:  R.. 0x0eeff
369125:  R.. 0x1575b
403000:  R.. 0x1575c
406750:  R.. 0x1efff
436750:  R.. 0x1575d
466750:  R.. 0x0f0ff
470500:  R.. 0x1575e
504375:  R.. 0x1575f
526875:  R.. 0x1f1ff
538125:  R.. 0x15760
571875:  R.. 0x15761
586875:  R.. 0x0f2ff
605625:  R.. 0x15762
613125:  R.. 0x1ffff
616875:  R.. 0x1ffff
620625:  R.. 0x1ffff
624375:  R.. 0x1ffff
639375:  R.. 0x15763
671250:  R.. 0x15764
705000:  R.. 0x15765
751750:  R.. 0x15766
770500:  R.. 0x15767
804250:  R.. 0x15768
808000:  R.. 0x1f3ff
838000:  R.. 0x15769
868125:  R.. 0x0f4ff
871875:  R.. 0x1576a
905625:  R.. 0x1576b
928125:  R.. 0x1f5ff
939500:  R.. 0x1576c
973250:  R.. 0x1576d
988250:  R.. 0x0f6ff
1007000:  R.. 0x1576e
1040750:  R.. 0x1576f
1048250:  R.. 0x1f7ff
1074500:  R.. 0x15770
1108250:  R.. 0x0f8ff
1168125:  R.. 0x1f9ff
1190625:  R.. 0x15771
1224375:  R.. 0x15772
1228125:  R.. 0x0faff
1254375:  R.. 0x1ffff
1258125:  R.. 0x1ffff
1261875:  R.. 0x1ffff
1265625:  R.. 0x1ffff
1269375:  R.. 0x15773
1293375:  R.. 0x15774
1323875:  R.. 0x15775
1357625:  R.. 0x15776
1393375:  R.. 0x15777
1427125:  R.. 0x15778
1449625:  R.. 0x1fbff
1460875:  R.. 0x15779
1494625:  R.. 0x1577a
1509625:  R.. 0x0fcff
1528375:  R.. 0x1577b
1562000:  R.. 0x1577c
1569500:  R.. 0x1fdff
1595750:  R.. 0x1577d
1625750:  R.. 0x1577e
1629500:  R.. 0x0feff
1659500:  R.. 0x1577f
1689500:  R.. 0x1ffff
1693250:  R.. 0x15780
1727000:  R.. 0x15781
1749500:  R.. 0x0003f
1760875:  R.. 0x15782
1794625:  R.. 0x15783
1809625:  R.. 0x1013f
1828375:  R.. 0x15784
1862250:  R.. 0x15785
1869750:  R.. 0x0023f
1896000:  R.. 0x1ffff
1899750:  R.. 0x1ffff
1903500:  R.. 0x1ffff
1907250:  R.. 0x1ffff
1911000:  R.. 0x15786
1930125:  R.. 0x15787
1961500:  R.. 0x15788
1995250:  R.. 0x15789
2034625:  R.. 0x1578a
2064625:  R.. 0x1578b
2090875:  R.. 0x1033f
2098375:  R.. 0x1578c
2132125:  R.. 0x1578d
2150875:  R.. 0x0043f
2165875:  R.. 0x1578e
2195875:  R.. 0x1578f
2211000:  R.. 0x1053f
2229750:  R.. 0x15790
2263500:  R.. 0x15791
2271000:  R.. 0x0063f
2297250:  R.. 0x15792
2331000:  R.. 0x1073f
2334875:  R.. 0x15793
2364750:  R.. 0x15794
2391000:  R.. 0x0083f
2398500:  R.. 0x15795
2432250:  R.. 0x15796
2451000:  R.. 0x1093f
2466000:  R.. 0x15797
2499625:  R.. 0x15798
2510875:  R.. 0x00a3f
2537125:  R.. 0x1ffff
2540875:  R.. 0x1ffff
2544750:  R.. 0x1ffff
2548500:  R.. 0x1ffff
2617875:  R.. 0x15799
2651625:  R.. 0x1579a
2683625:  R.. 0x1579b
2717375:  R.. 0x1579c
2732375:  R.. 0x10b3f
2751125:  R.. 0x1579d
2784875:  R.. 0x1579e
2792375:  R.. 0x00c3f
2818625:  R.. 0x1579f
2852375:  R.. 0x10d3f
2856125:  R.. 0x157a0
2886000:  R.. 0x157a1
2912250:  R.. 0x00e3f
2919750:  R.. 0x157a2
2953500:  R.. 0x157a3
2972250:  R.. 0x10f3f
2987250:  R.. 0x157a4
3021125:  R.. 0x157a5
3032375:  R.. 0x0103f
3051125:  R.. 0x157a6
3084875:  R.. 0x157a7
3092375:  R.. 0x1113f
3118750:  R.. 0x157a8
3152500:  R.. 0x0123f
3156250:  R.. 0x157a9
3178750:  R.. 0x1ffff
3182500:  R.. 0x1ffff
3186250:  R.. 0x1ffff
3190000:  R.. 0x1ffff
3193750:  R.. 0x157aa
3221875:  R.. 0x157ab
3255625:  R.. 0x157ac
3289375:  R.. 0x157ad
3321125:  R.. 0x157ae
3354875:  R.. 0x157af
3373625:  R.. 0x1133f
3388625:  R.. 0x157b0
3422375:  R.. 0x157b1
3433625:  R.. 0x0143f
3456125:  R.. 0x157b2
3490000:  R.. 0x157b3
3493750:  R.. 0x1153f
3523750:  R.. 0x157b4
3553750:  R.. 0x0163f
3557625:  R.. 0x157b5
3591375:  R.. 0x157b6
3613875:  R.. 0x1173f
3621375:  R.. 0x157b7
3655125:  R.. 0x157b8
3673875:  R.. 0x0183f
3688875:  R.. 0x157b9
3722500:  R.. 0x157ba
3733750:  R.. 0x1193f
3756250:  R.. 0x157bb
3790000:  R.. 0x157bc
3793750:  R.. 0x01a3f
3820000:  R.. 0x1ffff
3823750:  R.. 0x1ffff
3827500:  R.. 0x1ffff
3831250:  R.. 0x1ffff
3835000:  R.. 0x157bd
3858875:  R.. 0x157be
3893125:  R.. 0x157bf
3923250:  R.. 0x157c0
4015250:  R.. 0x11b3f
4041500:  R.. 0x157c1
4075250:  R.. 0x01c3f
4079000:  R.. 0x157c2
