# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
  19   2598.733    2609     2634     0
  20   2670.318    2681     2700     0
  21   2741.634    2752     2774     0
  22   2813.351    2824     2846     0
  23   2884.802    2895     2918     0
  24   2956.519    2967     3014     0
  25   3027.969    3038     3078     0
  26   3099.554    3110     3142     0
  27   3170.870    3181     3206     0
  28   3242.587    3253     3270     0
  29   3314.038    3324     3366     0
  30   3385.755    3396     3430     0
  31   3457.205    3468     3494     0
  32   3528.656    3539     3558     0
  33   3600.106    3610     3654     0
  34   3671.823    3682     3718     0
  35   3743.274    3754     3782     0
  36   3814.859    3825     3846     0
  37   3886.175    3897     3942     0
  38   3957.892    3968     4002     0
  39   4029.343    4040     4058     0
  40   4101.060    4111     4134     0
  41   4172.510    4183     4206     0
  42   4244.095    4254     4274     0
  43   4315.411    4326     4350     0
  44   4566.021    4576     4606     0
  45   4637.472    4648     4670     0
  46   4709.056    4719     4766     0
  47   4780.373    4791     4830     0
  48   4852.090    4862     4894     0
  49   4923.540    4934     4958     0
  50   4995.257    5006     5022     0
  51   5066.708    5077     5118     0
  52   5138.158    5149     5182     0
  53   5209.609    5220     5246     0
  54   5281.326    5292     5310     0
  55   5352.776    5363     5386     0
  56   5424.361    5434     5454    -1
  57   5495.677    5506     5526     0
  58   5567.394    5578     5634     0
  59   5638.845    5649     5686     0
  60   5710.562    5721     5750     0
  61   5782.013    5792     5814     0
  62   5853.597    5864     5910     0
  63   5924.914    5935     5974     0
  64   5996.631    6007     6038     0
  65   6068.081    6078     6102     0
  66   6139.798    6150     6166     0
  67   6211.249    6222     6262     0
  68   6282.699    6293     6326     0
  69   6354.150    6365     6390     0
  70   6425.867    6436     6454     0
  71   6497.317    6508     6550     0
  72   6568.902    6579     6614     0
  73   6640.218    6651     6678     0
  74   6711.935    6723     6746     1
  75   6783.386    6794     6814     0
  76   6855.103    6865     6886     0
  77   6926.554    6937     6958     0
  78   6998.138    7008     7054     0
  79   7069.455    7080     7118     0
  80   7141.172    7152     7182     0
  81   7212.622    7223     7246     0
  82   7284.339    7295     7342     0
  83   7355.790    7366     7406     0
  84   7606.133    7616     7662     0
  85   7677.584    7688     7726     0
  86   7749.301    7760     7790     0
  87   7820.751    7831     7854     0
  88   7892.202    7903     7950     0
  89   7963.652    7974     8014     0
  90   8035.369    8046     8106     0
  91   8106.820    8117     8138     0
  92   8178.405    8189     8206     0
  93   8249.721    8260     8278     0
  94   8321.438    8332     8370     0
  95   8392.888    8403     8422     0
  96   8464.606    8475     8518     0
  97   8536.056    8546     8582     0
  98   8607.641    8618     8646     0
  99   8678.957    8689     8710     0
 100   8750.674    8761     8806     0
 101   8822.125    8832     8870     0
 102   8893.842    8904     8934     0
 103   8965.292    8976     8998     0
 104   9036.743    9047     9094     0
 105   9108.193    9119     9158     0
 106   9179.910    9190     9222     0
 107   9251.361    9262     9286     0
 108   9322.946    9333     9350     0
 109   9394.262    9405     9474     0
 110   9465.979    9476     9498     0
 111   9537.429    9548     9566     0
 112   9609.146    9619     9638     0
 113   9680.597    9691     9738     0
 114   9752.182    9763     9790     0  outside

capture scr5-sprOff-stop-rdwrCpu-2g.txt  mode sprOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.92788  eps 0.01562  edges 115  grants 113  pre-capture request no
   0    122.660     133      162     0  outside
   1    194.204     205      246     0
   2    265.520     276      310     0
   3    337.237     348      374     0
   4    408.687     419      438     0
   5    480.271     491      534     0
   6    551.854     562      598     0
   7    623.304     634      662     0
   8    694.754     705      726     0
   9    766.471     777      822     0
  10    837.921     848      886     0
  11    909.505     920      950     0
  12    980.821     991     1014     0
  13   1052.538    1063     1110     0
  14   1123.988    1134     1174     0
  15   1195.704    1206     1266     0
  16   1267.154    1278     1298     0
  17   1517.496    1528     1550     0
  18   1588.946    1599     1646     0
  19   1660.663    1671     1710     0
  20   1732.113    1743     1774     0
  21   1803.698    1814     1838     0
  22   1875.013    1885     1902     0
  23   1946.730    1957     1998     0
  24   2018.180    2029     2062     0
  25   2089.764    2100     2126     0
  26   2161.347    2172     2190     0
  27   2232.797    2243     2286     0
  28   2304.247    2315     2350     0
  29   2375.964    2386     2414     0
  30   2447.414    2458     2478     0
  31   2518.998    2529     2574     0
  32   2590.314    2601     2634     0
  33   2662.031    2672     2690     0
  34   2733.481    2744     2766     0
  35   2805.198    2816     2838     0
  36   2876.648    2887     2906     0
  37   2948.232    2959     2982     0
  38   3019.548    3030     3046     0
  39   3091.264    3102     3142     0
  40   3162.715    3173     3206     0
  41   3234.299    3245     3270     0
  42   3305.881    3316     3334     0
  43   3377.331    3388     3430     0
  44   3448.782    3459     3494     0
  45   3520.498    3531     3558     0
  46   3591.948    3602     3622     0
  47   3663.533    3674     3718     0
  48   3734.848    3745     3782     0
  49   3806.565    3817     3846     0
  50   3878.015    3888     3910     0
  51   3949.732    3960     4002     0
  52   4021.182    4032     4050     0
  53   4092.766    4103     4126     0
  54   4164.082    4175     4198     0
  55   4235.799    4246     4266     0
  56   4307.249    4318     4350     0
  57   4557.725    4568     4606     0
  58   4629.041    4639     4670     0
  59   4700.758    4711     4734     0
  60   4772.208    4783     4830     0
  61   4843.924    4854     4894     0
  62   4915.375    4926     4958     0
  63   4986.825    4997     5022     0
  64   5058.275    5069     5086     0
  65   5129.991    5140     5182     0
  66   5201.441    5212     5246     0
  67   5273.026    5283     5310     0
  68   5344.342    5355     5378     0
  69   5416.058    5427     5454     1
  70   5487.508    5498     5518     0
  71   5559.225    5570     5590     0
  72   5630.675    5641     5686     0
  73   5702.260    5713     5750     0
  74   5773.575    5784     5814     0
  75   5845.292    5856     5878     0
  76   5916.742    5927     5974     0
  77   5988.326    5999     6038     0
  78   6059.909    6070     6102     0
  79   6131.359    6142     6166     0
  80   6202.809    6213     6230     0
  81   6274.526    6285     6326     0
  82   6345.976    6356     6390     0
  83   6417.560    6428     6454     0
  84   6488.876    6499     6518     0
  85   6560.593    6571     6614     0
  86   6632.043    6642     6678     0
  87   6703.760    6714     6738     0
  88   6775.210    6786     6804     0
  89   6846.794    6857     6878     0
  90   6918.110    6929     6950     0
  91   6989.826    7000     7022     0
  92   7061.277    7072     7118     0
  93   7132.861    7143     7182     0
  94   7204.443    7215     7246     0
  95   7275.893    7286     7310     0
  96   7347.343    7358     7374     0
  97   7597.952    7608     7630     0
  98   7669.402    7680     7726     0
  99   7740.852    7751     7790     0
 100   7812.302    7823     7854     0
 101   7884.019    7894     7918     0
 102   7955.469    7966     7982     0
 103   8027.053    8037     8106     0
 104   8098.369    8109     8130     0
 105   8170.086    8180     8198    -1
 106   8241.536    8252     8270     0
 107   8313.253    8324     8370     0
 108   8384.703    8395     8422     0
 109   8456.287    8467     8486     0
 110   8527.603    8538     8582     0
 111   8599.320    8610     8646     0
 112   8670.770    8681     8710     0
 113   8742.354    8753     8774     0
 114   8813.936    8824     8870     0  outside

capture scr5-sprOff-stop-rdwrCpu-3g.txt  mode sprOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.43133  eps 0.25000  edges 114  grants 115  pre-capture request yes
  -1          -       455      502     0  unrecorded
   0    516.475     527      566     0
   1    588.192     599      630     0
   2    659.642     671      694     0
   3    731.226     742      758     0
   4    802.542     813      854     0
   5    874.259     885      918     0
   6    945.709     957      982     0
   7   1017.294    1028     1046     0
   8   1088.917    1100     1142     0
   9   1160.327    1171     1206     0
  10   1231.777    1243     1266     0
  11   1303.494    1314     1332     0
  12   1374.944    1386     1406     0
  13   1446.529    1457     1478     0
  14   1517.845    1529     1550     0
  15   1589.562    1600     1646     0
  16   1661.012    1672     1710     0
  17   1732.729    1744     1774     0
  18   1804.179    1815     1838     0
  19   1875.764    1886     1902    -1
  20   1947.080    1958     1998     0
  21   2018.796    2030     2062     0
  22   2090.247    2101     2126     0
  23   2161.964    2173     2190     0
  24   2233.454    2244     2286     0
  25   2483.756    2494     2510    -1
  26   2555.207    2566     2634     0
  27   2626.791    2638     2658     0
  28   2698.374    2710     2726     1
  29   2769.824    2781     2798     0
  30   2841.274    2852     2898     0
  31   2912.991    2924     2950     0
  32   2984.441    2995     3014     0
  33   3056.026    3067     3110     0
  34   3127.342    3138     3174     0
  35   3199.193    3210     3238     0
  36   3270.509    3281     3302     0
  37   3342.226    3353     3398     0
  38   3413.676    3425     3462     0
  39   3485.261    3496     3526     0
  40   3556.577    3568     3590     0
  41   3628.294    3639     3686     0
  42   3699.744    3711     3750     0
  43   3771.328    3782     3814     0
  44   3842.911    3854     3878     0
  45   3914.361    3925     3942     0
  46   3985.812    3997     4018     0
  47   4057.528    4069     4094     1
  48   4128.979    4140     4158     0
  49   4200.563    4211     4266     0
  50   4271.879    4283     4318     0
  51   4343.596    4355     4382     0
  52   4415.046    4426     4446     0
  53   4486.763    4498     4542     0
  54   4558.213    4569     4606     0
  55   4629.798    4641     4670     0
  56   4701.114    4712     4734     0
  57   4772.831    4784     4830     0
  58   4844.281    4855     4894     0
  59   4915.866    4927     4958     0
  60   4987.448    4998     5022     0
  61   5058.899    5070     5086     0
  62   5130.349    5141     5182     0
  63   5202.066    5213     5246     0
  64   5273.516    5284     5310     0
  65   5523.858    5535     5558     0
  66   5595.309    5606     5634     0
  67   5667.026    5678     5718     0
  68   5738.476    5749     5782     0
  69   5810.060    5821     5846     0
  70   5881.376    5892     5910     0
  71   5953.093    5964     6006     0
  72   6024.543    6035     6070     0
  73   6096.260    6107     6134     0
  74   6167.711    6179     6198     0
  75   6239.295    6250     6294     0
  76   6310.611    6322     6358     0
  77   6382.328    6393     6422     0
  78   6453.778    6465     6486     0
  79   6525.363    6536     6582     0
  80   6596.945    6608     6646     0
  81   6668.396    6679     6738     0
  82   6739.846    6751     6770     0
  83   6811.563    6822     6838     0
  84   6883.013    6894     6910     0
  85   6954.598    6966     7002     0
  86   7025.914    7037     7054     0
  87   7097.630    7109     7150     0
  88   7169.081    7180     7214     0
  89   7240.798    7252     7278     0
  90   7312.248    7323     7342     0
  91   7383.832    7395     7438     0
  92   7455.148    7466     7502     0
  93   7526.865    7538     7566     0
  94   7598.316    7609     7630     0
  95   7669.900    7681     7726     0
  96   7741.483    7752     7790     0
  97   7812.933    7824     7854     0
  98   7884.383    7895     7918     0
  99   7956.100    7967     8014     0
 100   8027.550    8038     8106     0
 101   8099.135    8110     8130     0
 102   8170.451    8182     8198     1
 103   8242.168    8253     8270     0
 104   8313.618    8325     8370     0
 105   8564.095    8575     8614     0
 106   8635.411    8646     8678     0
 107   8707.128    8718     8742     0
 108   8778.578    8790     8806     0
 109   8850.295    8861     8902     0
 110   8921.745    8933     8966     0
 111   8993.330    9004     9030     0
 112   9064.646    9076     9094     0
 113   9136.362    9147     9190     0

capture scr5-sprOff-stop-rdwrCpu-4g.txt  mode sprOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.90531  eps 0.00000  edges 115  grants 111  pre-capture request no
   0   -159.395    -149     -102     0  dropped
   1    -88.079     -78      -62     0  dropped
   2    -16.362      -6       14     0
   3     55.089      65       86     0
   4    126.805     137      162     0
   5    198.256     209      246     0
   6    269.840     280      310     0
   7    341.156     352      374     0
   8    591.766     602      630     0
   9    663.216     674      694     0
  10    734.800     745      790     0
  11    806.117     817      854     0
  12    877.833     888      918     0
  13    949.284     960      982     0
  14   1021.001    1031     1078     0
  15   1092.451    1103     1142     0
  16   1164.036    1174     1206     0
  17   1235.352    1246     1266     0
  18   1307.068    1317     1342     0
  19   1378.519    1389     1406     0
  20   1450.103    1461     1478     0
  21   1521.419    1532     1550     0
  22   1593.136    1604     1646     0
  23   1664.587    1675     1710     0
  24   1736.304    1747     1774     0
  25   1807.754    1818     1838     0
  26   1879.338    1890     1934     0
  27   1950.654    1961     1998     0
  28   2022.371    2033     2062     0
  29   2093.822    2104     2126     0
  30   2165.539    2176     2222     0
  31   2236.989    2247     2286     0
  32   2308.439    2319     2350     0
  33   2379.889    2390     2414     0
  34   2451.606    2462     2478     0
  35   2523.057    2533     2574     0
  36   2594.641    2605     2634     0
  37   2665.957    2676     2700     0
  38   2737.674    2748     2766     0
  39   2809.125    2820     2838     0
  40   2880.841    2891     2918     0
  41   2952.292    2963     2982     0
  42   3023.876    3034     3078     0
  43   3095.192    3106     3142     0
  44   3166.909    3177     3206     0
  45   3238.360    3249     3270     0
  46   3310.076    3320     3366     0
  47   3381.527    3392     3430     0
  48   3631.869    3642     3686     0
  49   3703.320    3714     3750     0
  50   3775.037    3785     3814     0
  51   3846.487    3857     3878     0
  52   3918.071    3928     4002     0
  53   3989.388    4000       -1     0  dropped
  54   4061.104    4072     4094     0
  55   4132.555    4143     4166     0
  56   4204.139    4215     4266     0
  57   4275.762    4286     4318     0
  58   4347.172    4358     4382     0
  59   4418.623    4429     4446     0
  60   4490.339    4501     4542     0
  61   4561.790    4572     4606     0
  62   4633.374    4644     4670     0
  63   4704.690    4715     4734     0
  64   4776.407    4787     4830     0
  65   4847.858    4858     4894     0
  66   4919.575    4930     4958     0
  67   4991.025    5001     5022     0
  68   5062.475    5073     5118     0
  69   5133.925    5144     5182     0
  70   5205.642    5216     5246     0
  71   5277.093    5287     5310     0
  72   5348.677    5359     5378     0
  73   5419.993    5430     5454     0
  74   5491.710    5502     5518     0
  75   5563.160    5574     5590     0
  76   5634.877    5645     5686     0
  77   5706.328    5717     5750     0
  78   5777.912    5788     5814     0
  79   5849.228    5860     5878     0
  80   5920.945    5931     5974     0
  81   5992.395    6003     6038     0
  82   6064.112    6075     6102     0
  83   6135.563    6146     6166     0
  84   6207.013    6217     6262     0
  85   6278.463    6289     6326     0
  86   6350.180    6361     6390     0
  87   6421.631    6432     6454     0
  88   6672.107    6683     6738     0
  89   6743.424    6754     6770     0
  90   6815.140    6826     6846     0
  91   6886.591    6897     6918     0
  92   6958.175    6969     7002     0
  93   7029.491    7040     7086     0
  94   7101.208    7112     7150     0
  95   7172.659    7183     7214     0
  96   7244.375    7255     7278     0
  97   7315.826    7326     7342     0
  98   7387.410    7398     7438     0
  99   7458.726    7469     7502     0
 100   7530.443    7541     7566     0
 101   7601.894    7612     7630     0
 102   7673.610    7684     7726     0
 103   7745.061    7755     7790     0
 104   7816.645    7827     7854     0
 105   7887.961    7898     7918     0
 106   7959.678    7970     8014     0
 107   8031.129    8042     8106     0
 108   8102.713    8113     8130     0
 109   8174.336    8185     8206     0
 110   8245.746    8256     8278     0
 111   8317.196    8328     8370     0
 112   8388.913    8399     8422     0
 113   8460.364    8471     8518     0
 114   8531.948    8542     8582     0  outside

capture scr5-sprOff-stop-rdwrCpu-6g.txt  mode sprOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.06522  eps 0.00000  edges 116  grants 115  pre-capture request no
   0    908.770     919      950     0
   1    980.086     991     1014     0
   2   1051.804    1062     1078     0
   3   1123.255    1134     1174     0
   4   1194.972    1206     1266     0
   5   1266.423    1277     1298     0
   6   1338.008    1349     1366     0
   7   1409.325    1420     1438     0
   8   1481.042    1492     1530     0
   9   1552.493    1563     1582     0
  10   1624.078    1635     1678     0
  11   1695.395    1706     1742     0
  12   1767.112    1778     1806     0
  13   1838.563    1849     1870     0
  14   1910.281    1921     1966     0
  15   1981.732    1992     2030     0
  16   2053.317    2064     2094     0
  17   2124.633    2135     2158     0
  18   2196.351    2207     2254     0
  19   2267.802    2278     2318     0
  20   2339.519    2350     2382     0
  21   2410.970    2422     2446     0
  22   2482.421    2493     2510     0
  23   2553.872    2564     2634     0
  24   2625.589    2636     2658     0
  25   2697.040    2708     2726     0
  26   2768.625    2779     2798     0
  27   2839.942    2851     2898     0
  28   2911.659    2922     2950     0
  29   2983.110    2994     3014     0
  30   3054.828    3065     3110     0
  31   3126.278    3137     3174     0
  32   3197.863    3208     3238     0
  33   3269.180    3280     3302     0
  34   3340.898    3351     3398     0
  35   3412.348    3423     3462     0
  36   3484.066    3495     3526     0
  37   3555.517    3566     3590     0
  38   3626.968    3638     3654     0
  39   3698.418    3709     3750     0
  40   3949.030    3960     4002     0
  41   4020.481    4031     4050     0
  42   4092.066    4103     4126     0
  43   4163.382    4174     4190     0
  44   4235.100    4246     4266     0
  45   4306.551    4317     4350     0
  46   4378.136    4389     4414     0
  47   4449.759    4460     4478     0
  48   4521.170    4532     4574     0
  49   4592.621    4603     4638     0
  50   4664.338    4675     4702     0
  51   4735.789    4746     4766     0
  52   4807.374    4818     4862     0
  53   4878.691    4889     4926     0
  54   4950.408    4961     4990     0
  55   5021.859    5032     5054     0
  56   5093.577    5104     5150     0
  57   5165.027    5176     5214     0
  58   5236.612    5247     5278     0
  59   5307.929    5318     5370     0
  60   5379.647    5390     5410     0
  61   5451.097    5462     5478     0
  62   5522.683    5533     5550     0
  63   5593.999    5605     5634     0
  64   5665.717    5676     5718     0
  65   5737.167    5748     5782     0
  66   5808.885    5819     5846     0
  67   5880.336    5891     5910     0
  68   5951.921    5962     6006     0
  69   6023.238    6034     6070     0
  70   6094.955    6106     6134     0
  71   6166.406    6177     6198     0
  72   6238.123    6249     6294     0
  73   6309.574    6320     6358     0
  74   6381.159    6392     6422     0
  75   6452.476    6463     6486     0
  76   6524.193    6535     6582     0
  77   6595.644    6606     6646     0
  78   6667.229    6678     6738     0
  79   6738.853    6749     6770     0
  80   6989.157    7000     7022     0
  81   7060.608    7071     7118     0
  82   7132.193    7143     7182     0
  83   7203.817    7214     7246     0
  84   7275.227    7286     7310     0
  85   7346.678    7357     7374     0
  86   7418.396    7429     7470     0
  87   7489.846    7500     7534     0
  88   7561.432    7572     7598     0
  89   7632.748    7643     7662     0
  90   7704.466    7715     7758     0
  91   7775.917    7786     7822     0
  92   7847.634    7858     7886     0
  93   7919.085    7930     7950     0
  94   7990.670    8001     8046     0
  95   8061.987    8073     8106     0
  96   8133.704    8144     8162     0
  97   8205.155    8216     8238     0
  98   8276.740    8287     8310     0
  99   8348.364    8359     8378     0
 100   8419.774    8430     8454     0
 101   8491.225    8502     8518     0
 102   8562.942    8574     8614     0
 103   8634.393    8645     8678     0
 104   8705.978    8717     8742     0
 105   8777.295    8788     8806     0
 106   8849.012    8860     8902     0
 107   8920.463    8931     8966     0
 108   8992.181    9003     9030     0
 109   9063.632    9074     9094     0
 110   9135.217    9146     9190     0
 111   9206.533    9217     9254     0
 112   9278.251    9289     9318     0
 113   9349.702    9360     9382     0
 114   9421.287    9432     9474     0
 115   9492.910    9503     9522     0  outside
