  33:               R.s 0x0227f               R.s 0x02cff               R.s 0x0377f
  57:               W.d 0x0627f               W.d 0x06cff               W.d 0x0777f
  81:  R.s 0x01d7f               R.s 0x027ff               R.s 0x0327f               R.s 0x03cff
 105:  W.d 0x05d7f               W.d 0x067ff               W.d 0x0727f               W.d 0x07cff
 165:               R.s 0x022ff               R.s 0x02d7f               R.s 0x037ff
 189:               W.d 0x062ff               W.d 0x06d7f               W.d 0x077ff
 213:  R.s 0x01dff               R.s 0x0287f               R.s 0x032ff               R.s 0x03d7f
 237:  W.d 0x05dff               W.d 0x0687f               W.d 0x072ff               W.d 0x07d7f
 293:               R.s 0x0237f               R.s 0x02dff               R.s 0x0387f
 317:               W.d 0x0637f               W.d 0x06dff               W.d 0x0787f
 341:  R.s 0x01e7f               R.s 0x028ff               R.s 0x0337f
 365:  W.d 0x05e7f               W.d 0x068ff               W.d 0x0737f
 421:               R.s 0x023ff               R.s 0x02e7f               R.s 0x038ff
 445:               W.d 0x063ff               W.d 0x06e7f               W.d 0x078ff
 469:  R.s 0x01eff               R.s 0x0297f               R.s 0x033ff
 493:  W.d 0x05eff               W.d 0x0697f               W.d 0x073ff
 549:               R.s 0x0247f               R.s 0x02eff               R.s 0x0397f
 573:               W.d 0x0647f               W.d 0x06eff               W.d 0x0797f
 597:  R.s 0x01f7f               R.s 0x029ff               R.s 0x0347f
 621:  W.d 0x05f7f               W.d 0x069ff               W.d 0x0747f
 677:               R.s 0x024ff               R.s 0x02f7f               R.s 0x039ff
 701:               W.d 0x064ff               W.d 0x06f7f               W.d 0x079ff
 725:  R.s 0x01fff               R.s 0x02a7f               R.s 0x034ff
 749:  W.d 0x05fff               W.d 0x06a7f               W.d 0x074ff
 805:               R.s 0x0257f               R.s 0x02fff               R.s 0x03a7f
 829:               W.d 0x0657f               W.d 0x06fff               W.d 0x07a7f
 853:  R.s 0x0207f               R.s 0x02aff               R.s 0x0357f
 877:  W.d 0x0607f               W.d 0x06aff               W.d 0x0757f
 933:               R.s 0x025ff               R.s 0x0307f               R.s 0x03aff
 957:               W.d 0x065ff               W.d 0x0707f               W.d 0x07aff
 981:  R.s 0x020ff               R.s 0x02b7f               R.s 0x035ff
1005:  W.d 0x060ff               W.d 0x06b7f               W.d 0x075ff
1061:               R.s 0x0267f               R.s 0x030ff               R.s 0x03b7f
1085:               W.d 0x0667f               W.d 0x070ff               W.d 0x07b7f
1109:  R.s 0x0217f               R.s 0x02bff               R.s 0x0367f
1133:  W.d 0x0617f               W.d 0x06bff               W.d 0x0767f
1189:               R.s 0x026ff               R.s 0x0317f               R.s 0x03bff
1213:               W.d 0x066ff               W.d 0x0717f               W.d 0x07bff
1269:  R.s 0x021ff               R.s 0x02c7f               R.s 0x036ff
1293:  W.d 0x061ff               W.d 0x06c7f               W.d 0x076ff
1317:               R.s 0x0277f               R.s 0x031ff               R.s 0x03c7f
1345:               W.d 0x0677f               W.d 0x071ff               W.d 0x07c7f
