   9:  W.d 0x1f300  W.d 0x1f980  W.d 0x00000  W.d 0x00680  W.d 0x00d00  W.d 0x01380  W.d 0x01a00
 113:  W.d 0x1f380  W.d 0x1fa00  W.d 0x00080  W.d 0x00700  W.d 0x00d80  W.d 0x01400  W.d 0x01a80
 221:  W.d 0x1f400  W.d 0x1fa80  W.d 0x00100  W.d 0x00780  W.d 0x00e00  W.d 0x01480  W.d 0x01b00
 325:  W.d 0x1f480  W.d 0x1fb00  W.d 0x00180  W.d 0x00800  W.d 0x00e80  W.d 0x01500  W.d 0x01b80
 429:  W.d 0x1f500  W.d 0x1fb80  W.d 0x00200  W.d 0x00880  W.d 0x00f00  W.d 0x01580
 533:  W.d 0x1f580  W.d 0x1fc00  W.d 0x00280  W.d 0x00900  W.d 0x00f80  W.d 0x01600
 637:  W.d 0x1f600  W.d 0x1fc80  W.d 0x00300  W.d 0x00980  W.d 0x01000  W.d 0x01680
 741:  W.d 0x1f680  W.d 0x1fd00  W.d 0x00380  W.d 0x00a00  W.d 0x01080  W.d 0x01700
 845:  W.d 0x1f700  W.d 0x1fd80  W.d 0x00400  W.d 0x00a80  W.d 0x01100  W.d 0x01780
 949:  W.d 0x1f780  W.d 0x1fe00  W.d 0x00480  W.d 0x00b00  W.d 0x01180  W.d 0x01800
1061:  W.d 0x1f800  W.d 0x1fe80  W.d 0x00500  W.d 0x00b80  W.d 0x01200  W.d 0x01880
1165:  W.d 0x1f880  W.d 0x1ff00  W.d 0x00580  W.d 0x00c00  W.d 0x01280  W.d 0x01900
1269:  W.d 0x1f900  W.d 0x1ff80  W.d 0x00600  W.d 0x00c80  W.d 0x01300  W.d 0x01980
